指标名称,中国:碳市场碳排放配额(CEA):最新价,中国:碳市场碳排放配额(CEA):开盘价,中国:碳市场碳排放配额(CEA):最高价,中国:碳市场碳排放配额(CEA):最低价,中国:碳市场碳排放配额(CEA):成交量,中国:碳市场碳排放配额(CEA):成交金额,最新价:挂牌协议交易(CEA),开盘价:挂牌协议交易(CEA),最高价:挂牌协议交易(CEA),最低价:挂牌协议交易(CEA),成交量:挂牌协议交易(CEA),成交金额:挂牌协议交易(CEA),最新价:大宗协议交易(CEA),开盘价:大宗协议交易(CEA),最高价:大宗协议交易(CEA),最低价:大宗协议交易(CEA),成交量:大宗协议交易(CEA),成交金额:大宗协议交易(CEA)
频率,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日
单位,元/吨,元/吨,元/吨,元/吨,吨,元,元/吨,元/吨,元/吨,元/吨,吨,元,元/吨,元/吨,元/吨,元/吨,吨,元
指标ID,H3720021,C2846776,B6121417,C0494989,A7981696,F3415709,H5114446,Y2793126,J8634192,N5117684,P0683442,Z3135798,D9937612,P0368123,T2396186,T8039220,N8284520,K8156328
来源,上海环境能源交易所,上海环境能源交易所,上海环境能源交易所,上海环境能源交易所,上海环境能源交易所,上海环境能源交易所,上海环境能源交易所,上海环境能源交易所,上海环境能源交易所,上海环境能源交易所,上海环境能源交易所,上海环境能源交易所,上海环境能源交易所,上海环境能源交易所,上海环境能源交易所,上海环境能源交易所,上海环境能源交易所,上海环境能源交易所
2025/5/7,71.3,71.3,71.3,71.3,310500,2.1725E7,71.3,71.3,71.3,71.3,110500,7735000,71.3,71.3,71.3,71.3,200000,1.399E7
2025/5/6,71.35,71.46,71.5,71.3,453746,3.176422E7,71.35,71.46,71.5,71.3,153746,1.076422E7,71.35,71.46,71.5,71.3,300000,2.1E7
2025/5/5,,,,,,,,,,,,,,,,,,
2025/5/4,,,,,,,,,,,,,,,,,,
2025/5/3,,,,,,,,,,,,,,,,,,
2025/5/2,,,,,,,,,,,,,,,,,,
2025/5/1,,,,,,,,,,,,,,,,,,
2025/4/30,71.46,72.35,72.35,71.4,818555,5.66381775E7,71.46,72.35,72.35,71.4,106250,7448760,71.46,72.35,72.35,71.4,712305,4.91894175E7
2025/4/29,72.99,73.03,73.03,72.93,465543,3.4270634E7,72.99,73.03,73.03,72.93,15543,1131134,72.99,73.03,73.03,72.93,450000,3.31395E7
2025/4/28,73.17,75.75,75.75,73.08,427000,3.075641E7,73.17,75.75,75.75,73.08,87000,6406410,73.17,75.75,75.75,73.08,340000,2.435E7
2025/4/27,,,,,,,,,,,,,,,,,,
2025/4/26,,,,,,,,,,,,,,,,,,
2025/4/25,75.76,76,76,75.7,550500,4.1394885E7,75.76,76,76,75.7,250500,1.8794885E7,75.76,76,76,75.7,300000,2.26E7
2025/4/24,76.02,76.5,76.63,76,232778,1.7695428E7,76.02,76.5,76.63,76,77778,5915428,76.02,76.5,76.63,76,155000,1.178E7
2025/4/23,76.9,77,77,76.75,116510,9039304,76.9,77,77,76.75,116510,9039304,76.9,77,77,76.75,,
2025/4/22,76.85,77.4,77.59,76.78,548357,4.4216682E7,76.85,77.4,77.59,76.78,248357,1.9217682E7,76.85,77.4,77.59,76.78,300000,2.4999E7
2025/4/21,79.28,80.6,80.6,79.13,166000,1.30959E7,79.28,80.6,80.6,79.13,26000,2035900,79.28,80.6,80.6,79.13,140000,1.106E7
2025/4/20,,,,,,,,,,,,,,,,,,
2025/4/19,,,,,,,,,,,,,,,,,,
2025/4/18,80.38,80.99,80.99,80.25,552500,4.6877965E7,80.38,80.99,80.99,80.25,52500,4148965,80.38,80.99,80.99,80.25,500000,4.2729E7
2025/4/17,81.1,83.46,83.49,80.99,227284,1.8339673E7,81.1,83.46,83.49,80.99,127284,1.0239673E7,81.1,83.46,83.49,80.99,100000,8100000
2025/4/16,83.5,83.49,83.52,83.44,97789,8024576.9,83.5,83.49,83.52,83.44,97789,8024576.9,83.5,83.49,83.52,83.44,,
2025/4/15,83.66,83.74,83.74,83.59,458650,3.783895E7,83.66,83.74,83.74,83.59,358650,2.965895E7,83.66,83.74,83.74,83.59,100000,8180000
2025/4/14,83.66,85.3,85.38,83.63,162649,1.30608074E7,83.66,85.3,85.38,83.63,62649,5160807.4,83.66,85.3,85.38,83.63,100000,7900000
2025/4/13,,,,,,,,,,,,,,,,,,
2025/4/12,,,,,,,,,,,,,,,,,,
2025/4/11,85.32,85.38,85.38,85.3,26700,2210100,85.32,85.38,85.38,85.3,26700,2210100,85.32,85.38,85.38,85.3,,
2025/4/10,85.4,85.4,85.62,85.38,303926,2.4924922E7,85.4,85.4,85.62,85.38,21000,1744990,85.4,85.4,85.62,85.38,282926,2.3179932E7
2025/4/9,85.5,85.5,85.5,85.5,1000,83500,85.5,85.5,85.5,85.5,1000,83500,85.5,85.5,85.5,85.5,,
2025/4/8,85.5,85.43,85.5,85.43,21083,1760105.6,85.5,85.43,85.5,85.43,21083,1760105.6,85.5,85.43,85.5,85.43,,
2025/4/7,85.42,85.48,85.48,85.38,4600,382680,85.42,85.48,85.48,85.38,4600,382680,85.42,85.48,85.48,85.38,,
2025/4/6,,,,,,,,,,,,,,,,,,
2025/4/5,,,,,,,,,,,,,,,,,,
2025/4/4,,,,,,,,,,,,,,,,,,
2025/4/3,85.4,85.4,85.4,85.4,273489,1.9297318E7,85.4,85.4,85.4,85.4,10000,831000,85.4,85.4,85.4,85.4,263489,1.8466318E7
2025/4/2,85.43,85.45,85.45,85.4,250000,2.0061E7,85.43,85.45,85.45,85.4,50000,4161000,85.43,85.45,85.45,85.4,200000,1.59E7
2025/4/1,85.51,86.25,86.25,85.5,201100,1.6893439E7,85.51,86.25,86.25,85.5,101100,8443439,85.51,86.25,86.25,85.5,100000,8450000
2025/3/31,86.13,86.13,86.13,86.13,1010000,7.684E7,86.13,86.13,86.13,86.13,10000,840000,86.13,86.13,86.13,86.13,1000000,7.6E7
2025/3/30,,,,,,,,,,,,,,,,,,
2025/3/29,,,,,,,,,,,,,,,,,,
2025/3/28,86.13,86.12,86.38,86,140500,1.1802E7,86.13,86.13,86.13,86.13,140500,1.1802E7,86.13,86.12,86.38,86,0,0
2025/3/27,86.13,86.12,86.38,86,300487,2.3977926E7,86.13,86.12,86.38,86,100487,8477926,86.13,86.12,86.38,86,200000,1.55E7
2025/3/26,85.75,86.82,86.82,85.58,407821,3.48569825E7,85.75,86.82,86.82,85.58,257821,2.20019825E7,85.75,86.82,86.82,85.58,150000,1.2855E7
2025/3/25,87.2,86.87,87.67,86.87,207123,1.7433086E7,87.2,86.87,87.67,86.87,57123,4758086,87.2,86.87,87.67,86.87,150000,1.2675E7
2025/3/24,87.74,88.25,88.25,87.62,198009,1.69209668E7,87.74,88.25,88.25,87.62,198009,1.69209668E7,87.74,88.25,88.25,87.62,0,0
2025/3/23,,,,,,,,,,,,,,,,,,
2025/3/22,,,,,,,,,,,,,,,,,,
2025/3/21,87.78,88.07,88.07,87.7,133486,1.13557975E7,87.78,88.07,88.07,87.7,14545,1245812.5,87.78,88.07,88.07,87.7,118941,1.0109985E7
2025/3/20,87.79,87.87,88.12,87.75,42050,3603275,87.79,87.87,88.12,87.75,42050,3603275,87.79,87.87,88.12,87.75,0,0
2025/3/19,87.87,87.87,87.87,87.87,,,87.87,87.87,87.87,87.87,,,87.87,87.87,87.87,87.87,,
2025/3/18,87.87,87.87,87.87,87.87,,,87.87,87.87,87.87,87.87,,,87.87,87.87,87.87,87.87,,
2025/3/17,87.87,87.87,87.87,87.87,102423,8813224,87.87,87.87,87.87,87.87,2423,213224,87.87,87.87,87.87,87.87,100000,8600000
2025/3/16,,,,,,,,,,,,,,,,,,
2025/3/15,,,,,,,,,,,,,,,,,,
2025/3/14,88.54,88.54,88.54,88.54,110000,9420000,88.54,88.54,88.54,88.54,10000,870000,88.54,88.54,88.54,88.54,100000,8550000
2025/3/13,88.04,88.03,88.04,88,85091,7472004.42,88.04,88.03,88.04,88,85091,7472004.42,88.04,88.03,88.04,88,0,0
2025/3/12,86.6,87,87,86.5,18596,1587160,86.6,87,87,86.5,18596,1587160,86.6,87,87,86.5,0,0
2025/3/11,88.12,88.12,88.12,88.12,210000,1.835E7,88.12,88.12,88.12,88.12,10000,850000,88.12,88.12,88.12,88.12,200000,1.75E7
2025/3/10,88.87,,,,566,49242,88.87,,,,566,49242,88.87,,,,,
2025/3/9,,,,,,,,,,,,,,,,,,
2025/3/8,,,,,,,,,,,,,,,,,,
2025/3/7,89.62,,,,,,89.62,,,,,,89.62,,,,0,0
2025/3/6,89.62,89.62,89.62,89.62,101300,8766987,89.62,89.62,89.62,89.62,1300,116987,89.62,89.62,89.62,89.62,100000,8650000
2025/3/5,89.12,89.12,89.12,89.12,5000,440000,89.12,89.12,89.12,89.12,5000,440000,89.12,89.12,89.12,89.12,0,0
2025/3/4,89.25,89.75,89.75,89.25,4000,353000,89.25,89.75,89.75,89.25,4000,353000,89.25,89.75,89.75,89.25,0,0
2025/3/3,89.81,89.81,89.81,89.81,100001,8874090,89.81,89.81,89.81,89.81,1,90,89.81,89.81,89.81,89.81,100000,8874000
2025/3/2,,,,,,,,,,,,,,,,,,
2025/3/1,,,,,,,,,,,,,,,,,,
2025/2/28,89.56,89.62,89.62,89.37,273950,2.378655E7,89.56,89.62,89.62,89.37,173950,1.543655E7,89.56,89.62,89.62,89.37,100000,8350000
2025/2/27,89.75,89.75,,,100000,8900000,89.75,89.75,,,,,89.75,89.75,,,100000,8900000
2025/2/26,89.75,90.87,90.87,89.75,60050,5369500,89.75,90.87,90.87,89.75,60050,5369500,89.75,90.87,90.87,89.75,,
2025/2/25,90.83,90.87,91.87,90.62,187174,1.703743012E7,90.83,90.87,91.87,90.62,187174,1.703743012E7,90.83,90.87,91.87,90.62,,
2025/2/24,89.89,89.89,89.89,89.89,5000,450000,89.89,89.89,89.89,89.89,5000,450000,89.89,89.89,89.89,89.89,,
2025/2/23,,,,,,,,,,,,,,,,,,
2025/2/22,,,,,,,,,,,,,,,,,,
2025/2/21,89.9,90.4,90.4,89.87,38906,3482090,89.9,90.4,90.4,89.87,38906,3482090,89.9,90.4,90.4,89.87,,
2025/2/20,90.48,91.74,91.74,90.37,119594,1.0802445E7,90.48,91.74,91.74,90.37,119594,1.0802445E7,90.48,91.74,91.74,90.37,,
2025/2/19,91.24,91.24,91.24,91.24,74000,6697000,91.24,91.24,91.24,91.24,74000,6697000,91.24,91.24,91.24,91.24,,
2025/2/18,91.17,91.83,91.83,91.12,16733,1520552.59,91.17,91.83,91.83,91.12,16733,1520552.59,91.17,91.83,91.83,91.12,,
2025/2/17,91.14,,,,,,91.14,,,,,,91.14,,,,,
2025/2/16,,,,,,,,,,,,,,,,,,
2025/2/15,,,,,,,,,,,,,,,,,,
2025/2/14,91.14,92.09,92.09,90.97,261513,2.404767E7,91.14,92.09,92.09,90.97,61513,5567670,91.14,92.09,92.09,90.97,200000,1.848E7
2025/2/13,92.34,92.34,92.34,92.34,8648,799940,92.34,92.34,92.34,92.34,8648,799940,92.34,92.34,92.34,92.34,,
