指标名称,广东:收盘价:碳排放权配额(GDEA),广东:成交均价:碳排放权配额(GDEA),广东:当日成交量:碳排放权配额(GDEA),广东:当日成交额:碳排放权配额(GDEA),广东:当日成交额:碳排放权配额(GDEA),广东:累计成交额:碳排放权配额(GDEA)
频率,日,日,日,日,日,日
单位,元/吨,元/吨,吨,元,元,元
指标ID,S6301317,S6301318,S6301319,S6301320,S6301320,S6301322
来源,广州碳排放权交易所,广州碳排放权交易所,广州碳排放权交易所,广州碳排放权交易所,广州碳排放权交易所,广州碳排放权交易所
2025/5/6,38.02,38.02,933,35472.6,35472.6,5.77157259664E9
2025/5/5,,,,,,5.77153712404E9
2025/5/4,,,,,,5.77153712404E9
2025/5/3,,,,,,5.77153712404E9
2025/5/2,,,,,,5.77153712404E9
2025/5/1,,,,,,5.77153712404E9
2025/4/30,38.07,38.91,40,1556.4,1556.4,5.77153712404E9
2025/4/29,38.07,38.07,288,10964.8,10964.8,5.77153556764E9
2025/4/28,38.04,38.04,3889,147953.9,147953.9,5.77152460284E9
2025/4/27,,,,,,5.77137664894E9
2025/4/26,,,,,,5.77137664894E9
2025/4/25,38.2,38.2,6721,256711.08,256711.08,5.77137664894E9
2025/4/24,38.82,38.82,32590,1265241.8,1265241.8,5.77111993786E9
2025/4/23,38.95,38.95,700,27265,27265,5.76985469606E9
2025/4/22,39.66,43.5,2,87,87,5.76982743106E9
2025/4/21,39.66,39.66,1002,39739.98,39739.98,5.76982734406E9
2025/4/20,,,,,,5.76978760408E9
2025/4/19,,,,,,5.76978760408E9
2025/4/18,40.31,40.31,50303,2027590.1,2027590.1,5.76978760408E9
2025/4/17,39.84,40,60,2400,2400,5.76776001398E9
2025/4/16,39.84,39.84,600,23902.77,23902.77,5.76775761398E9
2025/4/15,40,40,3856,154243,154243,5.76773371121E9
2025/4/14,41.77,40.02,100,4002,4002,5.76757946821E9
2025/4/13,,,,,,5.76757546621E9
2025/4/12,,,,,,5.76757546621E9
2025/4/11,41.77,41.77,256,10692.7,10692.7,5.76757546621E9
2025/4/10,40.09,40.09,2045,81974.5,81974.5,5.76756477351E9
2025/4/9,40.91,40.91,10736,439172.5,439172.5,5.76748279901E9
2025/4/8,40.9,40.9,50078,2048415.8,2048415.8,5.76704362651E9
2025/4/7,40.32,40.32,2692,108540.88,108540.88,5.76499521071E9
2025/4/6,,,,,,5.76488666983E9
2025/4/5,,,,,,5.76488666983E9
2025/4/4,43.88,,,,,5.76488666983E9
2025/4/3,43.88,43.88,112,4914.38,4914.38,5.76488666983E9
2025/4/2,40.05,40.05,8735,349852.21,349852.21,5.76488175545E9
2025/4/1,39.3,39.3,291,11435,11435,5.76453190324E9
2025/3/31,41.79,41.79,4972,207769.85,207769.85,5.76452046824E9
2025/3/30,,,,,,5.76431269839E9
2025/3/29,,,,,,5.76431269839E9
2025/3/28,40.01,40.01,3302,132113.98,132113.98,5.76431269839E9
2025/3/27,40.08,40.08,3153,126372.56,126372.56,5.76418058441E9
2025/3/26,40.07,40.07,3277,131297.02,131297.02,5.76405421185E9
2025/3/25,41.6,41.6,6480,269564.5,269564.5,5.76392291483E9
