国家,中国
指标名称,中国:GDP:不变价:当季同比
频率,季
单位,%
指标ID,M0039354
时间区间,1992-03:2025-03
来源,国家统计局
更新时间,20250416
1992/3/31,13.6
1992/6/30,14.1
1992/9/30,14.6
1992/12/31,14.6
1993/3/31,15.3
1993/6/30,13.5
1993/9/30,13
1993/12/31,14.2
1994/3/31,14.2
1994/6/30,13.4
1994/9/30,13.1
1994/12/31,12.1
1995/3/31,12
1995/6/30,11
1995/9/30,10.5
1995/12/31,10.8
1996/3/31,11
1996/6/30,9.4
1996/9/30,9.3
1996/12/31,10.3
1997/3/31,10.2
1997/6/30,10.1
1997/9/30,8.7
1997/12/31,8.6
1998/3/31,7.3
1998/6/30,7
1998/9/30,7.9
1998/12/31,9.2
1999/3/31,9
1999/6/30,7.9
1999/9/30,7.7
1999/12/31,6.8
2000/3/31,8.8
2000/6/30,9.2
2000/9/30,8.9
2000/12/31,7.6
2001/3/31,9.5
2001/6/30,8.6
2001/9/30,8
2001/12/31,7.5
2002/3/31,9
2002/6/30,8.9
2002/9/30,9.7
2002/12/31,9.2
2003/3/31,11.2
2003/6/30,9.2
2003/9/30,10.1
2003/12/31,10.1
2004/3/31,10.6
2004/6/30,11.6
2004/9/30,9.8
2004/12/31,8.8
2005/3/31,11.2
2005/6/30,11.1
2005/9/30,10.9
2005/12/31,12.4
2006/3/31,12.4
2006/6/30,13.6
2006/9/30,12.2
2006/12/31,12.5
2007/3/31,13.6
2007/6/30,14.9
2007/9/30,14.2
2007/12/31,13.9
2008/3/31,11.6
2008/6/30,11
2008/9/30,9.5
2008/12/31,7.1
2009/3/31,6.4
2009/6/30,8.2
2009/9/30,10.6
2009/12/31,11.9
2010/3/31,12.2
2010/6/30,10.7
2010/9/30,9.9
2010/12/31,9.9
2011/3/31,10.1
2011/6/30,9.9
2011/9/30,9.3
2011/12/31,8.7
2012/3/31,8.1
2012/6/30,7.7
2012/9/30,7.5
2012/12/31,8.1
2013/3/31,7.9
2013/6/30,7.6
2013/9/30,7.9
2013/12/31,7.7
2014/3/31,7.6
2014/6/30,7.7
2014/9/30,7.3
2014/12/31,7.4
2015/3/31,7.1
2015/6/30,7.1
2015/9/30,7
2015/12/31,6.9
2016/3/31,6.8
2016/6/30,6.7
2016/9/30,6.7
2016/12/31,6.8
2017/3/31,7
2017/6/30,7
2017/9/30,6.9
2017/12/31,6.8
2018/3/31,6.9
2018/6/30,6.9
2018/9/30,6.7
2018/12/31,6.5
2019/3/31,6.4
2019/6/30,6.1
2019/9/30,6
2019/12/31,5.9
2020/3/31,-6.8
2020/6/30,3.2
2020/9/30,4.9
2020/12/31,6.5
2021/3/31,18.9
2021/6/30,8.1
2021/9/30,5.5
2021/12/31,4.5
2022/3/31,4.8
2022/6/30,0.8
2022/9/30,4
2022/12/31,3
2023/3/31,4.7
2023/6/30,6.5
2023/9/30,5
2023/12/31,5.3
2024/3/31,5.3
2024/6/30,4.7
2024/9/30,4.6
2024/12/31,5.4
2025/3/31,5.4
,
数据来源：Wind,
