国家,中国
指标名称,中国:GDP:现价:累计值
频率,季
单位,亿元
指标ID,M0000001
时间区间,1952-12:2025-03
来源,国家统计局
更新时间,20250416
1952/12/31,680.2
1953/3/31,#N/A
1953/6/30,#N/A
1953/9/30,#N/A
1953/12/31,825.9
1954/3/31,#N/A
1954/6/30,#N/A
1954/9/30,#N/A
1954/12/31,861.2
1955/3/31,#N/A
1955/6/30,#N/A
1955/9/30,#N/A
1955/12/31,913.1
1956/3/31,#N/A
1956/6/30,#N/A
1956/9/30,#N/A
1956/12/31,1032.6
1957/3/31,#N/A
1957/6/30,#N/A
1957/9/30,#N/A
1957/12/31,1073.5
1958/3/31,#N/A
1958/6/30,#N/A
1958/9/30,#N/A
1958/12/31,1314.9
1959/3/31,#N/A
1959/6/30,#N/A
1959/9/30,#N/A
1959/12/31,1450.5
1960/3/31,#N/A
1960/6/30,#N/A
1960/9/30,#N/A
1960/12/31,1473.3
1961/3/31,#N/A
1961/6/30,#N/A
1961/9/30,#N/A
1961/12/31,1234.9
1962/3/31,#N/A
1962/6/30,#N/A
1962/9/30,#N/A
1962/12/31,1164.7
1963/3/31,#N/A
1963/6/30,#N/A
1963/9/30,#N/A
1963/12/31,1250.9
1964/3/31,#N/A
1964/6/30,#N/A
1964/9/30,#N/A
1964/12/31,1472.7
1965/3/31,#N/A
1965/6/30,#N/A
1965/9/30,#N/A
1965/12/31,1737.2
1966/3/31,#N/A
1966/6/30,#N/A
1966/9/30,#N/A
1966/12/31,1892
1967/3/31,#N/A
1967/6/30,#N/A
1967/9/30,#N/A
1967/12/31,1797.4
1968/3/31,#N/A
1968/6/30,#N/A
1968/9/30,#N/A
1968/12/31,1747.4
1969/3/31,#N/A
1969/6/30,#N/A
1969/9/30,#N/A
1969/12/31,1965.7
1970/3/31,#N/A
1970/6/30,#N/A
1970/9/30,#N/A
1970/12/31,2283.4
1971/3/31,#N/A
1971/6/30,#N/A
1971/9/30,#N/A
1971/12/31,2460.8
1972/3/31,#N/A
1972/6/30,#N/A
1972/9/30,#N/A
1972/12/31,2556.5
1973/3/31,#N/A
1973/6/30,#N/A
