国家,中国
指标名称,中国:产量:原油加工量:当月值
频率,月
单位,吨
指标ID,S0073064
时间区间,1989-01:2025-03
来源,国家统计局
更新时间,20250417
1989/1/31,8457000
1989/2/28,8093000
1989/3/31,8711000
1989/4/30,8122000
1989/5/31,8907000
1989/6/30,8936000
1989/7/31,9154000
1989/8/31,9452000
1989/9/30,9005000
1989/10/31,9184000
1989/11/30,9510000
1989/12/31,9258000
1990/1/31,9267000
1990/2/28,9169000
1990/3/31,9894000
1990/4/30,9109000
1990/5/31,9199000
1990/6/30,8943000
1990/7/31,9624000
1990/8/31,9399000
1990/9/30,8871000
1990/10/31,9361000
1990/11/30,9114000
1990/12/31,9139000
1991/1/31,9068000
1991/2/28,9015000
1991/3/31,9849000
1991/4/30,8566000
1991/5/31,9381000
1991/6/30,9643000
1991/7/31,9911000
1991/8/31,9828000
1991/9/30,9430000
1991/10/31,9845000
1991/11/30,1.06E+07
1991/12/31,9925000
1992/1/31,1.02E+07
1992/2/29,1.02E+07
1992/3/31,1.03E+07
1992/4/30,9659000
1992/5/31,9935000
1992/6/30,1.00E+07
1992/7/31,1.05E+07
1992/8/31,1.07E+07
1992/9/30,9926000
1992/10/31,1.09E+07
1992/11/30,1.07E+07
1992/12/31,1.06E+07
1993/1/31,1.05E+07
1993/2/28,1.05E+07
1993/3/31,1.09E+07
1993/4/30,1.07E+07
1993/5/31,1.12E+07
1993/6/30,1.11E+07
1993/7/31,1.08E+07
1993/8/31,1.16E+07
1993/9/30,1.03E+07
1993/10/31,1.15E+07
1993/11/30,1.15E+07
1993/12/31,1.15E+07
1994/1/31,1.10E+07
1994/2/28,1.02E+07
1994/3/31,1.15E+07
1994/4/30,1.12E+07
1994/5/31,1.08E+07
1994/6/30,1.10E+07
1994/7/31,1.14E+07
1994/8/31,1.09E+07
1994/9/30,9778500
1994/10/31,1.12E+07
1994/11/30,1.12E+07
1994/12/31,1.17E+07
1995/1/31,1.15E+07
1995/2/28,1.11E+07
1995/3/31,1.23E+07
1995/4/30,1.10E+07
1995/5/31,1.13E+07
1995/6/30,1.19E+07
1995/7/31,1.36E+07
1995/8/31,1.21E+07
1995/9/30,1.18E+07
1995/10/31,1.23E+07
1995/11/30,1.25E+07
1995/12/31,1.28E+07
1996/1/31,1.23E+07
1996/2/29,1.23E+07
1996/3/31,1.27E+07
1996/4/30,1.20E+07
1996/5/31,1.25E+07
1996/6/30,1.25E+07
1996/7/31,1.33E+07
1996/8/31,1.28E+07
1996/9/30,1.19E+07
1996/10/31,1.27E+07
1996/11/30,1.24E+07
1996/12/31,1.31E+07
1997/1/31,1.42E+07
1997/2/28,1.22E+07
1997/3/31,1.36E+07
1997/4/30,1.26E+07
1997/5/31,1.37E+07
1997/6/30,1.47E+07
1997/7/31,1.34E+07
1997/8/31,1.39E+07
1997/9/30,1.39E+07
1997/10/31,1.46E+07
1997/11/30,1.47E+07
1997/12/31,1.48E+07
1998/1/31,1.33E+07
1998/2/28,1.20E+07
1998/3/31,1.39E+07
1998/4/30,1.36E+07
1998/5/31,1.38E+07
1998/6/30,1.41E+07
1998/7/31,1.49E+07
1998/8/31,1.29E+07
1998/9/30,1.23E+07
1998/10/31,1.39E+07
1998/11/30,1.43E+07
1998/12/31,1.63E+07
1999/1/31,1.48E+07
1999/2/28,1.38E+07
1999/3/31,1.45E+07
1999/4/30,1.49E+07
1999/5/31,1.47E+07
1999/6/30,1.52E+07
1999/7/31,1.50E+07
1999/8/31,1.58E+07
1999/9/30,1.49E+07
1999/10/31,1.61E+07
1999/11/30,1.63E+07
1999/12/31,1.73E+07
2000/1/31,1.62E+07
2000/2/29,1.62E+07
2000/3/31,1.61E+07
2000/4/30,1.71E+07
2000/5/31,1.74E+07
2000/6/30,1.80E+07
2000/7/31,1.78E+07
2000/8/31,1.88E+07
2000/9/30,1.85E+07
2000/10/31,1.85E+07
2000/11/30,1.75E+07
2000/12/31,1.70E+07
2001/1/31,1.63E+07
2001/2/28,1.58E+07
2001/3/31,1.81E+07
2001/4/30,1.87E+07
2001/5/31,1.90E+07
2001/6/30,1.83E+07
2001/7/31,1.66E+07
2001/8/31,1.69E+07
2001/9/30,1.78E+07
2001/10/31,1.85E+07
2001/11/30,1.77E+07
2001/12/31,1.67E+07
2002/1/31,1.68E+07
2002/2/28,1.61E+07
2002/3/31,1.78E+07
2002/4/30,1.90E+07
2002/5/31,1.93E+07
2002/6/30,1.79E+07
2002/7/31,1.72E+07
2002/8/31,1.77E+07
2002/9/30,1.90E+07
2002/10/31,1.96E+07
2002/11/30,1.90E+07
2002/12/31,1.98E+07
2003/1/31,1.93E+07
2003/2/28,1.84E+07
2003/3/31,1.97E+07
2003/4/30,1.98E+07
2003/5/31,1.83E+07
2003/6/30,1.88E+07
2003/7/31,2.03E+07
2003/8/31,2.08E+07
2003/9/30,2.12E+07
2003/10/31,2.18E+07
2003/11/30,2.10E+07
2003/12/31,2.23E+07
2004/1/31,2.24E+07
2004/2/29,2.20E+07
2004/3/31,2.23E+07
2004/4/30,2.21E+07
2004/5/31,2.31E+07
2004/6/30,2.25E+07
2004/7/31,2.29E+07
2004/8/31,2.35E+07
2004/9/30,2.25E+07
2004/10/31,2.32E+07
2004/11/30,2.35E+07
2004/12/31,2.45E+07
2005/1/31,2.43E+07
2005/2/28,2.23E+07
2005/3/31,2.47E+07
2005/4/30,2.39E+07
2005/5/31,2.46E+07
2005/6/30,2.38E+07
2005/7/31,2.46E+07
2005/8/31,2.42E+07
2005/9/30,2.46E+07
2005/10/31,2.43E+07
2005/11/30,2.42E+07
2005/12/31,2.47E+07
2006/1/31,2.48E+07
2006/2/28,2.37E+07
2006/3/31,2.52E+07
2006/4/30,2.50E+07
2006/5/31,2.52E+07
2006/6/30,2.52E+07
2006/7/31,2.56E+07
2006/8/31,2.51E+07
2006/9/30,2.51E+07
2006/10/31,2.56E+07
2006/11/30,2.61E+07
2006/12/31,2.70E+07
2007/1/31,2.64E+07
2007/2/28,2.49E+07
2007/3/31,2.71E+07
2007/4/30,2.67E+07
2007/5/31,2.80E+07
2007/6/30,2.80E+07
2007/7/31,2.75E+07
2007/8/31,2.75E+07
2007/9/30,2.69E+07
2007/10/31,2.76E+07
2007/11/30,2.77E+07
2007/12/31,2.91E+07
2008/1/31,2.84E+07
2008/2/29,2.74E+07
2008/3/31,2.89E+07
2008/4/30,2.74E+07
2008/5/31,2.78E+07
2008/6/30,2.96E+07
2008/7/31,3.03E+07
2008/8/31,2.92E+07
2008/9/30,2.83E+07
2008/10/31,2.98E+07
2008/11/30,2.73E+07
2008/12/31,2.72E+07
2009/1/31,2.58E+07
2009/2/28,2.58E+07
2009/3/31,2.94E+07
2009/4/30,2.94E+07
2009/5/31,3.12E+07
2009/6/30,3.19E+07
2009/7/31,3.31E+07
2009/8/31,3.26E+07
2009/9/30,3.28E+07
2009/10/31,3.33E+07
2009/11/30,3.34E+07
2009/12/31,3.46E+07
2010/1/31,3.37E+07
2010/2/28,3.19E+07
2010/3/31,3.46E+07
2010/4/30,3.44E+07
2010/5/31,3.58E+07
2010/6/30,3.53E+07
2010/7/31,3.53E+07
2010/8/31,3.47E+07
2010/9/30,3.49E+07
2010/10/31,3.70E+07
2010/11/30,3.67E+07
2010/12/31,3.87E+07
2011/1/31,3.72E+07
2011/2/28,3.52E+07
2011/3/31,3.77E+07
2011/4/30,3.72E+07
2011/5/31,3.85E+07
2011/6/30,3.56E+07
2011/7/31,3.75E+07
2011/8/31,3.68E+07
2011/9/30,3.61E+07
2011/10/31,3.71E+07
2011/11/30,3.79E+07
2011/12/31,3.92E+07
2012/1/31,3.97E+07
2012/2/29,3.69E+07
2012/3/31,3.84E+07
2012/4/30,3.70E+07
2012/5/31,3.83E+07
2012/6/30,3.60E+07
2012/7/31,3.76E+07
2012/8/31,3.77E+07
2012/9/30,3.88E+07
2012/10/31,3.99E+07
2012/11/30,4.16E+07
2012/12/31,4.31E+07
2013/1/31,4.29E+07
2013/2/28,3.78E+07
2013/3/31,4.08E+07
2013/4/30,3.83E+07
2013/5/31,3.91E+07
2013/6/30,3.96E+07
2013/7/31,4.03E+07
2013/8/31,3.97E+07
2013/9/30,3.86E+07
2013/10/31,4.11E+07
2013/11/30,4.02E+07
2013/12/31,4.20E+07
2014/1/31,3.86E+07
2014/2/28,4.02E+07
2014/3/31,4.19E+07
2014/4/30,3.96E+07
2014/5/31,4.03E+07
