国家,中国
指标名称,中国:产量:原煤:当月值
频率,月
单位,万吨
指标ID,S0026989
时间区间,1986-01:2025-03
来源,国家统计局
更新时间,20250417
1986/1/31,6662
1986/2/28,5307
1986/3/31,7271
1986/4/30,7155
1986/5/31,7583
1986/6/30,7655
1986/7/31,7081
1986/8/31,7224
1986/9/30,7267
1986/10/31,7425
1986/11/30,7796
1986/12/31,8391
1987/1/31,6434
1987/2/28,5905
1987/3/31,7685
1987/4/30,7588
1987/5/31,7912
1987/6/30,8123
1987/7/31,7327
1987/8/31,7451
1987/9/30,7458
1987/10/31,7494
1987/11/30,7788
1987/12/31,8728
1988/1/31,7409
1988/2/29,5685
1988/3/31,7578
1988/4/30,7899
1988/5/31,8846
1988/6/30,8868
1988/7/31,7855
1988/8/31,7622
1988/9/30,7807
1988/10/31,7934
1988/11/30,8800
1988/12/31,9543
1989/1/31,7436
1989/2/28,5847
1989/3/31,8401
1989/4/30,8609
1989/5/31,8892
1989/6/30,9331
1989/7/31,8422
1989/8/31,8833
1989/9/30,8699
1989/10/31,8455
1989/11/30,8952
1989/12/31,9988
1990/1/31,7168
1990/2/28,7040
1990/3/31,8759
1990/4/30,9315
1990/5/31,9360
1990/6/30,9637
1990/7/31,8585
1990/8/31,8584
1990/9/30,8424
1990/10/31,8772
1990/11/30,9172
1990/12/31,9823
1991/1/31,8302
1991/2/28,6412
1991/3/31,8616
1991/4/30,9066
1991/5/31,9404
1991/6/30,9542
1991/7/31,8513
1991/8/31,8498
1991/9/30,8782
1991/10/31,9277
1991/11/30,9277
1991/12/31,10166
1992/1/31,8114
1992/2/29,6089
1992/3/31,8922
1992/4/30,9060
1992/5/31,9651
1992/6/30,10072
1992/7/31,9188
1992/8/31,9418
1992/9/30,9421
1992/10/31,9237
1992/11/30,9901
1992/12/31,10460
1993/1/31,6768
1993/2/28,7549
1993/3/31,9817
1993/4/30,9776
1993/5/31,9990
1993/6/30,10507
1993/7/31,9642
1993/8/31,10616
1993/9/30,9393
1993/10/31,9574
1993/11/30,10134
1993/12/31,11645.72
1994/1/31,8616
1994/2/28,6500.47
1994/3/31,9843.69
1994/4/30,10337.07
1994/5/31,11082.93
1994/6/30,11211.16
1994/7/31,9908.65
1994/8/31,10302.9
1994/9/30,10399.67
1994/10/31,10397.55
1994/11/30,10724.83
1994/12/31,12184.85
1995/1/31,8624
1995/2/28,8009.84
1995/3/31,10916.34
1995/4/30,11109
1995/5/31,11485.5
1995/6/30,12016.3
1995/7/31,10707.35
1995/8/31,10253.27
1995/9/30,10598.68
1995/10/31,11136.31
1995/11/30,11226.87
1995/12/31,13065.77
1996/1/31,10094.53
1996/2/29,8129.21
1996/3/31,11515.18
1996/4/30,11866.14
1996/5/31,12465.99
1996/6/30,13024.73
1996/7/31,11493.24
1996/8/31,11072.3
1996/9/30,11442.51
1996/10/31,11953.02
1996/11/30,11809.18
1996/12/31,12780.81
1997/1/31,10932.84
1997/2/28,8498.15
1997/3/31,11943.63
1997/4/30,11652.16
1997/5/31,12188.19
1997/6/30,12264.87
1997/7/31,10905.39
1997/8/31,11074.85
1997/9/30,11153.14
1997/10/31,11362.05
1997/11/30,11586.89
1997/12/31,12219.46
1998/1/31,7248.73
1998/2/28,6115.39
1998/3/31,9710.4
1998/4/30,9359.86
1998/5/31,10357.69
1998/6/30,10523.28
1998/7/31,8523.5
1998/8/31,8503.81
1998/9/30,9415.31
1998/10/31,10148.69
1998/11/30,11040.24
1998/12/31,12820.74
1999/1/31,8348.52
1999/2/28,5955.61
1999/3/31,8318.95
1999/4/30,8459.26
1999/5/31,8191.89
1999/6/30,8348.69
1999/7/31,7570.02
1999/8/31,7620.51
1999/9/30,7819.91
1999/10/31,8069.83
1999/11/30,8471.65
1999/12/31,9398.94
2000/1/31,6614.01
2000/2/29,4298.17
2000/3/31,7496.11
2000/4/30,7044.09
2000/5/31,7454.91
2000/6/30,7496.16
2000/7/31,6970.15
2000/8/31,6986.44
2000/9/30,7128.73
2000/10/31,7229.55
2000/11/30,7538.04
2000/12/31,8682.66
2001/1/31,6345.39
2001/2/28,6797.35
2001/3/31,8249.42
2001/4/30,7942.23
2001/5/31,8062.61
2001/6/30,8093.81
2001/7/31,7414.16
2001/8/31,7809.97
2001/9/30,8118.12
2001/10/31,8389.34
2001/11/30,8806.48
2001/12/31,10018.67
2002/1/31,8633.16
2002/2/28,6848.65
2002/3/31,9378.19
2002/4/30,9281
2002/5/31,9160.91
2002/6/30,9362.54
2002/7/31,8716.04
2002/8/31,9089.87
2002/9/30,9350.72
2002/10/31,9487.7
2002/11/30,10034.95
2002/12/31,11463.4
2003/1/31,9630.9
2003/2/28,8538.57
2003/3/31,10687.42
2003/4/30,10732.94
2003/5/31,10910.97
2003/6/30,11443.91
2003/7/31,10993.29
2003/8/31,10719.05
2003/9/30,10560.61
2003/10/31,11470.67
2003/11/30,12237.64
2003/12/31,13596.69
2004/1/31,9694.9
2004/2/29,11001.55
2004/3/31,12812.81
2004/4/30,13129.26
2004/5/31,12872.29
2004/6/30,13540.87
2004/7/31,13150.39
2004/8/31,13254.94
2004/9/30,13405.98
2004/10/31,14018.02
2004/11/30,14369.75
2004/12/31,15269.79
2005/1/31,12879.05
2005/2/28,11138.29
2005/3/31,14002.3
2005/4/30,14386.62
2005/5/31,14989.05
2005/6/30,15859.6
2005/7/31,15175.55
2005/8/31,15395.94
2005/9/30,15764.11
2005/10/31,16354.75
2005/11/30,17043.1
2005/12/31,18002.37
2006/1/31,12923
2006/2/28,13697.33
2006/3/31,16621.76
2006/4/30,17411.78
2006/5/31,17328.45
2006/6/30,17966.69
2006/7/31,16842.14
2006/8/31,17437.42
2006/9/30,18127.51
2006/10/31,18654.62
2006/11/30,18967.09
2006/12/31,20389.21
2007/1/31,17479.01
2007/2/28,14203.23
2007/3/31,17775.89
2007/4/30,18846.63
2007/5/31,19115.32
2007/6/30,20239.65
2007/7/31,19560.99
2007/8/31,19397.05
2007/9/30,20355.12
2007/10/31,19877.28
2007/11/30,21192.17
2007/12/31,21849.76
2008/1/31,18735.64
2008/2/29,17000.79
2008/3/31,21128.71
2008/4/30,21333.69
2008/5/31,22700.18
2008/6/30,23935.71
2008/7/31,22028.77
2008/8/31,22214.15
2008/9/30,22869.9
2008/10/31,21927.64
2008/11/30,22697.18
2008/12/31,21994.04
2009/1/31,17234.45
2009/2/28,19656.48
2009/3/31,23342.71
2009/4/30,22979.98
2009/5/31,24841.05
2009/6/30,27908.51
2009/7/31,25781.75
2009/8/31,26074.92
2009/9/30,26316.36
2009/10/31,27306.83
2009/11/30,28894.05
2009/12/31,28062.25
2010/1/31,25610.0737
2010/2/28,21298
2010/3/31,27980.8
2010/4/30,26839.1
2010/5/31,28386.4309
2010/6/30,29692.14
2010/7/31,29190.56
2010/8/31,30138.35
2010/9/30,27601.53
2010/10/31,30065.64
2010/11/30,33757.58
2010/12/31,#N/A
2011/1/31,26826.3042
2011/2/28,24749.4
2011/3/31,32088.8669
2011/4/30,31808.16
2011/5/31,32730.22
2011/6/30,34020.08
2011/7/31,32782.52
2011/8/31,32740.48
2011/9/30,31800
2011/10/31,33000
2011/11/30,32100
2011/12/31,#N/A
2012/1/31,25600
2012/2/29,29200
2012/3/31,29500
2012/4/30,31000
2012/5/31,31500
2012/6/30,31500
2012/7/31,31000
2012/8/31,30700
2012/9/30,31500
2012/10/31,31500
2012/11/30,32980
2012/12/31,#N/A
2013/1/31,31000
2013/2/28,24000
2013/3/31,29000
2013/4/30,30500
2013/5/31,30700
2013/6/30,30400
2013/7/31,30000
2013/8/31,30000
2013/9/30,31500
2013/10/31,32000
2013/11/30,33000
2013/12/31,#N/A
2014/1/31,29000
2014/2/28,24500
2014/3/31,30500
2014/4/30,30100
2014/5/31,30000
