国家,中国
指标名称,中国:产量:粗钢:当月值
频率,月
单位,万吨
指标ID,S0027374
时间区间,1989-02:2025-03
来源,国家统计局
更新时间,20250417
1989/2/28,430.8
1989/3/31,512.2
1989/4/30,511.2
1989/5/31,519.4
1989/6/30,490.4
1989/7/31,488.2
1989/8/31,527.7
1989/9/30,545.8
1989/10/31,561.5
1989/11/30,551.2
1989/12/31,539
1990/1/31,517.1
1990/2/28,491.8
1990/3/31,560.4
1990/4/30,551
1990/5/31,568
1990/6/30,541.5
1990/7/31,521.2
1990/8/31,543
1990/9/30,573.8
1990/10/31,597.2
1990/11/30,578.7
1990/12/31,551.8
1991/1/31,551.9
1991/2/28,521.7
1991/3/31,589
1991/4/30,561.3
1991/5/31,574.2
1991/6/30,567.5
1991/7/31,563.3
1991/8/31,601.6
1991/9/30,620.3
1991/10/31,647.2
1991/11/30,638.8
1991/12/31,588.2
1992/1/31,629.9
1992/2/29,628.4
1992/3/31,668.5
1992/4/30,646.6
1992/5/31,657.7
1992/6/30,654.9
1992/7/31,653.7
1992/8/31,646.7
1992/9/30,677.9
1992/10/31,721.8
1992/11/30,712.8
1992/12/31,704.8
1993/1/31,683.9
1993/2/28,689.1
1993/3/31,755.8
1993/4/30,735.4
1993/5/31,750.2
1993/6/30,725.2
1993/7/31,707.9
1993/8/31,747.9
1993/9/30,753.6
1993/10/31,782.3
1993/11/30,759.7
1993/12/31,769.4
1994/1/31,749.79
1994/2/28,727.4
1994/3/31,819.15
1994/4/30,796.81
1994/5/31,794.54
1994/6/30,774.59
1994/7/31,729.55
1994/8/31,871.05
1994/9/30,761.34
1994/10/31,781.88
1994/11/30,773.95
1994/12/31,734.1
1995/1/31,744.77
1995/2/28,730.89
1995/3/31,792.22
1995/4/30,827.35
1995/5/31,820.41
1995/6/30,780.5
1995/7/31,764.65
1995/8/31,774.84
1995/9/30,777.47
1995/10/31,804.7
1995/11/30,808.21
1995/12/31,758.09
1996/1/31,797.17
1996/2/29,758.76
