国家,中国
指标名称,中国:全社会用电量:当月值
频率,月
单位,万千瓦时
指标ID,S5100021
时间区间,2006-03:2025-03
来源,国家能源局
更新时间,20250506
2006/3/31,2.0276079E7
2006/4/30,2.21672E7
2006/5/31,2.26593E7
2006/6/30,2.3787097E7
2006/7/31,2.6006298E7
2006/8/31,2.6751479E7
2006/9/30,2.3709725E7
2006/10/31,2.4252579E7
2006/11/30,2.4442531E7
2006/12/31,2.62051E7
2007/1/31,#N/A
2007/2/28,#N/A
2007/3/31,2.5118529E7
2007/4/30,2.5775431E7
2007/5/31,2.6560033E7
2007/6/30,2.7268656E7
2007/7/31,3.0178283E7
2007/8/31,3.0144521E7
2007/9/30,2.771058E7
2007/10/31,2.7738991E7
2007/11/30,2.8048816E7
2007/12/31,3.0336647E7
2008/1/31,#N/A
2008/2/29,#N/A
2008/3/31,2.8946024E7
2008/4/30,2.8636639E7
2008/5/31,2.958537E7
2008/6/30,2.9524438E7
2008/7/31,3.2175568E7
2008/8/31,3.1981521E7
2008/9/30,2.9456537E7
2008/10/31,2.698505E7
2008/11/30,2.5623932E7
2008/12/31,2.7371103E7
2009/1/31,2.510679976E7
2009/2/28,2.461498824E7
2009/3/31,2.8377218E7
2009/4/30,2.7489146E7
2009/5/31,2.8853304E7
2009/6/30,3.0817356E7
2009/7/31,3.4200175E7
2009/8/31,3.4622349E7
2009/9/30,3.224082E7
2009/10/31,3.1342329E7
2009/11/30,3.2838815E7
2009/12/31,3.6043664E7
2010/1/31,3.5425693E7
2010/2/28,2.7209408E7
2010/3/31,3.4349951E7
2010/4/30,3.3943861E7
2010/5/31,3.480417E7
2010/6/30,3.5204674E7
2010/7/31,3.8962716E7
2010/8/31,3.9745449E7
2010/9/30,3.4931235E7
2010/10/31,3.4002301E7
2010/11/30,3.4604688E7
2010/12/31,3.7007041E7
2011/1/31,3.8889102E7
2011/2/28,3.1358537E7
2011/3/31,3.8877785E7
2011/4/30,3.7678887E7
2011/5/31,3.8649432E7
2011/6/30,3.9645009E7
2011/7/31,4.3490442E7
2011/8/31,4.3431265E7
2011/9/30,3.9154415E7
2011/10/31,3.7971048E7
2011/11/30,3.8356522E7
2011/12/31,4.1908652E7
2012/1/31,3.6335746E7
2012/2/29,3.8629635E7
2012/3/31,4.1599866E7
2012/4/30,3.898716E7
2012/5/31,4.0607525E7
2012/6/30,4.1357077E7
2012/7/31,4.5556695E7
2012/8/31,4.4946666E7
2012/9/30,4.0506742E7
2012/10/31,3.9980595E7
2012/11/30,4.13929E7
2012/12/31,4.6284579E7
2013/1/31,4.5187963E7
2013/2/28,3.3736119E7
2013/3/31,4.2410136E7
2013/4/30,4.165213E7
2013/5/31,4.2687593E7
2013/6/30,4.3837463E7
2013/7/31,4.9495678E7
2013/8/31,5.1029498E7
2013/9/30,4.4483976E7
2013/10/31,4.3751016E7
2013/11/30,4.4850005E7
2013/12/31,4.9128819E7
2014/1/31,4.4080594E7
2014/2/28,3.8350019E7
2014/3/31,4.544E7
2014/4/30,4.3562732E7
2014/5/31,4.4920395E7
2014/6/30,4.6385023E7
2014/7/31,5.0969616E7
2014/8/31,5.0253374E7
2014/9/30,4.5697348E7
2014/10/31,4.5083995E7
2014/11/30,4.6322373E7
2014/12/31,5.116926E7
2015/1/31,4.859E7
2015/2/28,3.595E7
2015/3/31,4.447754461E7
2015/4/30,4.41535771E7
2015/5/31,4.567227865E7
2015/6/30,4.723035897E7
2015/7/31,5.034360916E7
