国家,中国
指标名称,中国:发电量:火电:当月值
频率,月
单位,亿千瓦时
指标ID,S0027016
时间区间,1989-02:2025-03
来源,国家统计局
更新时间,20250417
1989/2/28,352
1989/3/31,399.2
1989/4/30,375.4
1989/5/31,378.6
1989/6/30,370.2
1989/7/31,371.8
1989/8/31,385.1
1989/9/30,370
1989/10/31,392.6
1989/11/30,409.1
1989/12/31,443.3
1990/1/31,413.6
1990/2/28,384.2
1990/3/31,419
1990/4/30,395
1990/5/31,395.3
1990/6/30,379
1990/7/31,393.2
1990/8/31,404.2
1990/9/30,392.9
1990/10/31,418.6
1990/11/30,429.4
1990/12/31,469.2
1991/1/31,471.1
1991/2/28,401.9
1991/3/31,467.1
1991/4/30,437.7
1991/5/31,442
1991/6/30,419.3
1991/7/31,440
1991/8/31,448.4
1991/9/30,446.3
1991/10/31,468.3
1991/11/30,494.8
1991/12/31,524.1
1992/1/31,494.8
1992/2/29,475.6
1992/3/31,514.2
1992/4/30,478.2
1992/5/31,484.8
1992/6/30,478.7
1992/7/31,506.3
1992/8/31,486.8
1992/9/30,495.5
1992/10/31,517.5
1992/11/30,550.6
1992/12/31,584.4
1993/1/31,548.8
1993/2/28,532.9
1993/3/31,589.9
1993/4/30,554.1
1993/5/31,546.3
1993/6/30,523
1993/7/31,543.4
1993/8/31,538.2
1993/9/30,523.4
1993/10/31,545.6
1993/11/30,568.5
1993/12/31,638.6
1994/1/31,620.59
1994/2/28,548.62
1994/3/31,628.37
1994/4/30,589.66
1994/5/31,589.79
1994/6/30,573.87
1994/7/31,567.17
1994/8/31,604.79
1994/9/30,561.26
1994/10/31,589.66
1994/11/30,634.83
1994/12/31,682.15
1995/1/31,644.73
1995/2/28,599.02
1995/3/31,677.55
1995/4/30,663.61
1995/5/31,645.09
1995/6/30,619.75
1995/7/31,651.77
1995/8/31,635.84
1995/9/30,629.57
1995/10/31,642
1995/11/30,687.73
1995/12/31,754.44
1996/1/31,748.46
1996/2/29,665.03
1996/3/31,744.94
1996/4/30,710.21
1996/5/31,704.66
1996/6/30,676.16
1996/7/31,690.02
1996/8/31,686.54
1996/9/30,671.87
1996/10/31,691.05
1996/11/30,733.12
1996/12/31,814.9
1997/1/31,725.09
1997/2/28,669.92
1997/3/31,792.13
1997/4/30,730.82
1997/5/31,731.21
1997/6/30,717.6
1997/7/31,748.36
1997/8/31,752.79
1997/9/30,718.17
1997/10/31,722.15
