国家,中国
指标名称,中国:社会融资规模:当月值
频率,月
单位,亿元
指标ID,M5206730
时间区间,2002-01:2025-04
来源,中国人民银行
更新时间,20250514
2002/1/31,-472
2002/2/28,289
2002/3/31,3136
2002/4/30,1151
2002/5/31,1774
2002/6/30,2621
2002/7/31,813
2002/8/31,1585
2002/9/30,3507
2002/10/31,795
2002/11/30,1805
2002/12/31,3109
2003/1/31,3386
2003/2/28,998
2003/3/31,4041
2003/4/30,2622
2003/5/31,2971
2003/6/30,5842
2003/7/31,1344
2003/8/31,3321
2003/9/30,4040
2003/10/31,1218
2003/11/30,1832
2003/12/31,2498
2004/1/31,2114
2004/2/29,438
2004/3/31,6557
2004/4/30,2731
2004/5/31,2443
2004/6/30,3229
2004/7/31,590
2004/8/31,1501
2004/9/30,2981
2004/10/31,483
2004/11/30,1977
2004/12/31,3586
2005/1/31,3620
2005/2/28,824
2005/3/31,4189
2005/4/30,1999
2005/5/31,1968
2005/6/30,4723
2005/7/31,629
2005/8/31,2097
2005/9/30,6041
2005/10/31,-974
2005/11/30,2368
2005/12/31,2524
2006/1/31,6323
2006/2/28,1737
2006/3/31,7472
2006/4/30,3325
2006/5/31,3785
2006/6/30,3843
2006/7/31,2254
2006/8/31,3362
2006/9/30,3077
2006/10/31,894
2006/11/30,2788
2006/12/31,3837
2007/1/31,6908
2007/2/28,3083
2007/3/31,6311
2007/4/30,6103
2007/5/31,3824
2007/6/30,7042
2007/7/31,3100
2007/8/31,6961
2007/9/30,5290
2007/10/31,3688
2007/11/30,3073
2007/12/31,4281
2008/1/31,10859
2008/2/29,4731
2008/3/31,6391
2008/4/30,7076
2008/5/31,5678
2008/6/30,5976
2008/7/31,4890
2008/8/31,4575
2008/9/30,5659
2008/10/31,1288
2008/11/30,4517
2008/12/31,8164
2009/1/31,13990
2009/2/28,11131
2009/3/31,22011
2009/4/30,5452
2009/5/31,14959
2009/6/30,21067
2009/7/31,7388
2009/8/31,7650
2009/9/30,11871
2009/10/31,5985
2009/11/30,9501
2009/12/31,8100
2010/1/31,20550
2010/2/28,10877
2010/3/31,13830
2010/4/30,14919
2010/5/31,10805
2010/6/30,10196
2010/7/31,7202
2010/8/31,10646
2010/9/30,11224
2010/10/31,8608
2010/11/30,10554
2010/12/31,10780
2011/1/31,17560
2011/2/28,6468
2011/3/31,18212
2011/4/30,13673
2011/5/31,10854
2011/6/30,10873
2011/7/31,5393
2011/8/31,10741
2011/9/30,4279
2011/10/31,7908
2011/11/30,9581
2011/12/31,12744
2012/1/31,9754
2012/2/29,10431
2012/3/31,18704
2012/4/30,9637
2012/5/31,11432
2012/6/30,17802
2012/7/31,10522
2012/8/31,12475
2012/9/30,16462
2012/10/31,12906
2012/11/30,11225
2012/12/31,16282
2013/1/31,25446
2013/2/28,10705
2013/3/31,25503
2013/4/30,17629
2013/5/31,11871
2013/6/30,10375
2013/7/31,8191
2013/8/31,15841
2013/9/30,14120
2013/10/31,8645
2013/11/30,12310
2013/12/31,12532
2014/1/31,26004
2014/2/28,9370
2014/3/31,20934
2014/4/30,15259
2014/5/31,14013
2014/6/30,19673
2014/7/31,2737
2014/8/31,9577
2014/9/30,11355
2014/10/31,6807
2014/11/30,11459
2014/12/31,16945
2015/1/31,20516
2015/2/28,13609
2015/3/31,12433
2015/4/30,10582
2015/5/31,12397
2015/6/30,18384
2015/7/31,7511
2015/8/31,11097
2015/9/30,13571
2015/10/31,5593
2015/11/30,10255
2015/12/31,18114
2016/1/31,34758
2016/2/29,8312
