国家,中国
指标名称,广东:GDP:当季同比
频率,季
单位,%
指标ID,M0048810
时间区间,2000-03:2022-06
来源,广东省统计局
更新时间,20220715
2000/3/31,10.2
2000/6/30,11
2000/9/30,10.6
2000/12/31,10.3
2001/3/31,9.3
2001/6/30,10.6
2001/9/30,8.8
2001/12/31,9.2
2002/3/31,10.5
2002/6/30,10.8
2002/9/30,10.1
2002/12/31,11.7
2003/3/31,13
2003/6/30,12.3
2003/9/30,13.9
2003/12/31,15
2004/3/31,15
2004/6/30,15.2
2004/9/30,14.6
2004/12/31,12.8
2005/3/31,12.2
2005/6/30,13.2
2005/9/30,11.9
2005/12/31,12.4
2006/3/31,13.7
2006/6/30,15
2006/9/30,13.7
2006/12/31,13.9
2007/3/31,13
2007/6/30,15.5
2007/9/30,15.5
2007/12/31,13.9
2008/3/31,10.5
2008/6/30,11
2008/9/30,9.8
2008/12/31,9.2
2009/3/31,5.8
2009/6/30,8.3
2009/9/30,11
2009/12/31,11.6
2010/3/31,12.5
2010/6/30,10.2
2010/9/30,12.3
2010/12/31,13.4
2011/3/31,10.5
2011/6/30,10.1
2011/9/30,9.9
2011/12/31,9.6
2012/3/31,7.2
2012/6/30,7.6
2012/9/30,8.7
2012/12/31,8.9
2013/3/31,8.5
2013/6/30,8.4
2013/9/30,8.5
2013/12/31,8.5
2014/3/31,7.2
2014/6/30,7.8
2014/9/30,7.7
2014/12/31,8.2
2015/3/31,7.2
2015/6/30,8.1
2015/9/30,8.3
2015/12/31,8.3
2016/3/31,7.3
2016/6/30,7.4
2016/9/30,7
2016/12/31,8.3
2017/3/31,7.8
2017/6/30,7.8
2017/9/30,7.3
2017/12/31,7.4
2018/3/31,7
2018/6/30,7.1
2018/9/30,6.4
2018/12/31,6.6
2019/3/31,6.6
2019/6/30,6.5
2019/9/30,6.1
2019/12/31,#N/A
2020/3/31,-6.7
2020/6/30,#N/A
2020/9/30,#N/A
2020/12/31,#N/A
2021/3/31,18.6
2021/6/30,#N/A
2021/9/30,#N/A
2021/12/31,#N/A
2022/3/31,3.3
2022/6/30,0.7
,
数据来源：Wind,
