国家,中国
指标名称,广东:GDP:累计值
频率,季
单位,亿元
指标ID,M0048796
时间区间,1993-12:2025-03
来源,广东省统计局
更新时间,20250423
1993/12/31,3469.28
1994/3/31,#N/A
1994/6/30,#N/A
1994/9/30,#N/A
1994/12/31,4619.02
1995/3/31,#N/A
1995/6/30,#N/A
1995/9/30,#N/A
1995/12/31,5933.05
1996/3/31,#N/A
1996/6/30,#N/A
1996/9/30,#N/A
1996/12/31,6834.97
1997/3/31,#N/A
1997/6/30,#N/A
1997/9/30,#N/A
1997/12/31,7774.53
1998/3/31,#N/A
1998/6/30,#N/A
1998/9/30,#N/A
1998/12/31,8530.88
1999/3/31,1729.58
1999/6/30,3659.42
1999/9/30,5863.07
1999/12/31,9250.68
2000/3/31,1931.74
2000/6/30,4128.35
2000/9/30,6659.09
2000/12/31,10741.25
2001/3/31,2138.8
2001/6/30,4658.2
2001/9/30,7433.88
2001/12/31,12039.25
2002/3/31,2343.4
2002/6/30,5146.95
2002/9/30,8195.83
2002/12/31,13502.42
2003/3/31,2707.34
2003/6/30,5874.95
2003/9/30,9383.62
2003/12/31,15844.64
2004/3/31,3543.67
2004/6/30,7657.19
2004/9/30,12039.72
2004/12/31,18864.62
2005/3/31,4532.02
2005/6/30,9893.56
2005/9/30,15671.83
2005/12/31,22557.37
2006/3/31,5298.78
2006/6/30,11641.11
2006/9/30,18436.26
2006/12/31,26587.76
2007/3/31,6125.85
2007/6/30,13786.26
2007/9/30,21909.65
2007/12/31,31777.01
2008/3/31,7497.53
2008/6/30,16018.01
2008/9/30,25299.68
2008/12/31,36796.71
2009/3/31,7947.85
2009/6/30,17245.03
2009/9/30,27512.95
2009/12/31,39482.56
2010/3/31,9128.82
2010/6/30,20303.52
2010/9/30,32018.3
2010/12/31,46013.06
2011/3/31,10549.74
2011/6/30,24248.35
2011/9/30,38046.78
2011/12/31,53210.28
2012/3/31,11510.8
2012/6/30,26200.92
2012/9/30,40685.76
2012/12/31,57067.92
2013/3/31,12612.88
2013/6/30,28465.92
2013/9/30,44471.53
2013/12/31,62474.79
2014/3/31,13636.91
2014/6/30,30879.09
2014/9/30,48130.36
2014/12/31,67809.85
2015/3/31,14948.57
2015/6/30,34526.64
2015/9/30,52522.38
2015/12/31,72812.55
2016/3/31,17272.24
2016/6/30,37357.59
2016/9/30,57061.17
2016/12/31,80854.91
2017/3/31,19438.05
2017/6/30,41957.84
2017/9/30,64815.38
2017/12/31,89705.23
2018/3/31,21675.92
2018/6/30,46059.11
2018/9/30,70881.55
2018/12/31,99945.22
2019/3/31,23695.52
2019/6/30,50054.49
2019/9/30,77460.42
2019/12/31,107671.07
2020/3/31,22518.67
2020/6/30,49234.2
2020/9/30,78397.07
2020/12/31,110760.94
2021/3/31,27117.96
2021/6/30,57226.31
2021/9/30,88009.86
2021/12/31,124369.67
2022/3/31,28498.79
2022/6/30,59518
2022/9/30,91723.22
2022/12/31,129118.58
2023/3/31,30178.23
2023/6/30,62909.8
2023/9/30,96161.63
2023/12/31,135673.16
2024/3/31,31510.66
2024/6/30,65242.5
2024/9/30,99939.18
2024/12/31,141633.81
2025/3/31,33525.51
,
数据来源：Wind,
