国家,中国
指标名称,广东:用电量:当月值
频率,月
单位,万千瓦时
指标ID,S5108119
时间区间,2006-03:2025-03
来源,Wind
更新时间,20250506
2006/3/31,2321584
2006/4/30,2423311
2006/5/31,2498708
2006/6/30,2609001
2006/7/31,2978042
2006/8/31,2989565
2006/9/30,2810107
2006/10/31,2738168
2006/11/30,2480091
2006/12/31,2645825
2007/1/31,2424913
2007/2/28,1805924
2007/3/31,2593980
2007/4/30,2750177
2007/5/31,2888524
2007/6/30,3025077
2007/7/31,3470334
2007/8/31,3303170
2007/9/30,3154077
2007/10/31,3038352
2007/11/30,2812351
2007/12/31,2747638
2008/1/31,2641248
2008/2/29,1922763
2008/3/31,2868591
2008/4/30,2894838
2008/5/31,3157386
2008/6/30,3007225
2008/7/31,3447722
2008/8/31,3515894
2008/9/30,3367230
2008/10/31,2982973
2008/11/30,2632402
2008/12/31,2608870
2009/1/31,2062036
2009/2/28,2172792
2009/3/31,2716033
2009/4/30,2709219
2009/5/31,2913234
2009/6/30,3195957
2009/7/31,3657524
2009/8/31,3757803
2009/9/30,3651236
2009/10/31,3176583
2009/11/30,2963429
2009/12/31,3024154
2010/1/31,3103532
2010/2/28,1985363
2010/3/31,3205107
2010/4/30,3218095
2010/5/31,3580000
2010/6/30,3630000
2010/7/31,4160000
2010/8/31,4165900
2010/9/30,3813500
2010/10/31,3440000
2010/11/30,3104180
2010/12/31,3248505
2011/1/31,3120000
2011/2/28,2320000
2011/3/31,3440000
2011/4/30,3490000
2011/5/31,3780000
2011/6/30,4040000
2011/7/31,4340000
2011/8/31,4570000
2011/9/30,4090000
2011/10/31,3650000
2011/11/30,3540000
2011/12/31,3620168
2012/1/31,2560000
2012/2/29,3160000
2012/3/31,3700000
2012/4/30,3662917
2012/5/31,4153473
2012/6/30,4198618
2012/7/31,4530068
2012/8/31,4678041
2012/9/30,4278351
2012/10/31,3874057
2012/11/30,3650000
2012/12/31,3744100
2013/1/31,3562633
2013/2/28,2227325
2013/3/31,3809335
2013/4/30,3814582
2013/5/31,4303557
2013/6/30,4518973
2013/7/31,4796159
2013/8/31,4786628
2013/9/30,4441369
2013/10/31,4148288
2013/11/30,3914135
2013/12/31,3978318
2014/1/31,3233006
2014/2/28,2894344
2014/3/31,4100000
2014/4/30,4120000
2014/5/31,4550000
2014/6/30,4950000
2014/7/31,5450000
2014/8/31,5310000
2014/9/30,4997864
2014/10/31,4471481
2014/11/30,4098386
2014/12/31,4182168
2015/1/31,4004103
2015/2/28,2401358
2015/3/31,3937713
2015/4/30,4271955
2015/5/31,4790598
2015/6/30,5199146
2015/7/31,5336701
2015/8/31,5397203
2015/9/30,4866481
2015/10/31,4418737
2015/11/30,4242465
2015/12/31,4240462
2016/1/31,3977172
2016/2/29,2702719
2016/3/31,4306338
2016/4/30,4335141
2016/5/31,4928366
2016/6/30,5388651
2016/7/31,5831339
2016/8/31,5593514
2016/9/30,5232690
2016/10/31,4871942
2016/11/30,4514630
2016/12/31,4418841
2017/1/31,3429826
2017/2/28,3483716
2017/3/31,4638306
2017/4/30,4545203
2017/5/31,5001634
2017/6/30,5717107
2017/7/31,5877300
2017/8/31,6259245
2017/9/30,6001137
2017/10/31,5145015
2017/11/30,4711061
2017/12/31,4780128
2018/1/31,4810000
2018/2/28,2900000
2018/3/31,4710000
2018/4/30,4890000
2018/5/31,6110000
2018/6/30,5890000
2018/7/31,6540000
2018/8/31,6430000
2018/9/30,5740000
2018/10/31,5160000
2018/11/30,4980000
2018/12/31,5070000
2019/1/31,4540000
2019/2/28,3210000
2019/3/31,5150000
2019/4/30,5300000
2019/5/31,5760000
2019/6/30,6320000
2019/7/31,6990000
2019/8/31,6930000
2019/9/30,6330000
2019/10/31,5880000
2019/11/30,5250000
2019/12/31,5310000
2020/1/31,3820000
2020/2/29,2910000
2020/3/31,4830000
2020/4/30,5000000
2020/5/31,6290000
2020/6/30,6790000
2020/7/31,7860000
2020/8/31,7260000
2020/9/30,6940000
2020/10/31,5860000
2020/11/30,5760000
2020/12/31,5930000
2021/1/31,5750000
2021/2/28,3560000
2021/3/31,5960000
2021/4/30,6130000
2021/5/31,7620000
2021/6/30,7410000
2021/7/31,8230000
2021/8/31,7860000
2021/9/30,7720000
2021/10/31,6440000
2021/11/30,5910000
2021/12/31,6070000
2022/1/31,5060000
2022/2/28,4530000
2022/3/31,6190000
2022/4/30,6120000
2022/5/31,6460000
2022/6/30,7200000
2022/7/31,8330000
2022/8/31,8000000
2022/9/30,7840000
2022/10/31,6650000
2022/11/30,6150000
2022/12/31,6170000
2023/1/31,#N/A
2023/2/28,#N/A
2023/3/31,6550000
2023/4/30,6370000
2023/5/31,7400000
2023/6/30,8220000
2023/7/31,9020000
2023/8/31,8900000
2023/9/30,7900000
2023/10/31,7230000
2023/11/30,6817158.275
2023/12/31,6949683.209
2024/1/31,#N/A
2024/2/29,#N/A
2024/3/31,7190000
2024/4/30,7320000
2024/5/31,7530000
2024/6/30,8330000
2024/7/31,9610000
2024/8/31,9350000
2024/9/30,8750000
2024/10/31,7800000
2024/11/30,7170000
2024/12/31,7190299.028
2025/1/31,#N/A
2025/2/28,#N/A
2025/3/31,7365604.254
,
数据来源：Wind,
