国家,
指标名称,期货结算价(连续):欧盟排放配额(EUA)
频率,日
单位,欧元/吨二氧化碳当量
指标ID,S5100012
时间区间,2005-04-22:2025-05-14
来源,根据新闻整理
更新时间,20250515
2005/4/22,16.85
2005/4/23,#N/A
2005/4/24,#N/A
2005/4/25,17.45
2005/4/26,17.15
2005/4/27,16.35
2005/4/28,15.95
2005/4/29,16.4
2005/4/30,#N/A
2005/5/1,#N/A
2005/5/2,#N/A
2005/5/3,#N/A
2005/5/4,16.1
2005/5/5,16.5
2005/5/6,#N/A
2005/5/7,#N/A
2005/5/8,#N/A
2005/5/9,16.85
2005/5/10,16.95
2005/5/11,16.75
2005/5/12,16.35
2005/5/13,16.65
2005/5/14,#N/A
2005/5/15,#N/A
2005/5/16,16.75
2005/5/17,17.05
2005/5/18,17.3
2005/5/19,17.8
2005/5/20,18.55
2005/5/21,#N/A
2005/5/22,#N/A
2005/5/23,18.3
2005/5/24,18.95
2005/5/25,19.75
2005/5/26,19.6
2005/5/27,19.45
2005/5/28,#N/A
2005/5/29,#N/A
2005/5/30,#N/A
2005/5/31,19.65
2005/6/1,19.45
2005/6/2,19.2
2005/6/3,18.85
2005/6/4,#N/A
2005/6/5,#N/A
2005/6/6,19.05
2005/6/7,19.4
2005/6/8,19.55
2005/6/9,19.5
2005/6/10,19.5
2005/6/11,#N/A
2005/6/12,#N/A
2005/6/13,19.6
2005/6/14,19.65
2005/6/15,19.85
2005/6/16,20.35
2005/6/17,21.2
2005/6/18,#N/A
2005/6/19,#N/A
2005/6/20,22.7
2005/6/21,22.7
2005/6/22,22.8
2005/6/23,23.05
2005/6/24,23.6
2005/6/25,#N/A
2005/6/26,#N/A
2005/6/27,23.55
2005/6/28,24.2
2005/6/29,25
2005/6/30,25.3
2005/7/1,26.5
2005/7/2,#N/A
2005/7/3,#N/A
2005/7/4,28.85
2005/7/5,28.25
2005/7/6,28.7
2005/7/7,28.8
2005/7/8,29.1
2005/7/9,#N/A
2005/7/10,#N/A
2005/7/11,29.1
2005/7/12,28.95
2005/7/13,27.35
2005/7/14,23.45
2005/7/15,23.7
2005/7/16,#N/A
2005/7/17,#N/A
2005/7/18,24.1
2005/7/19,23.95
2005/7/20,20.65
2005/7/21,19.9
2005/7/22,19.6
2005/7/23,#N/A
2005/7/24,#N/A
2005/7/25,19.95
2005/7/26,20.4
2005/7/27,21.65
2005/7/28,21.65
2005/7/29,21.9
2005/7/30,#N/A
2005/7/31,#N/A
2005/8/1,21
2005/8/2,20.25
2005/8/3,20.2
2005/8/4,20.05
2005/8/5,20.8
2005/8/6,#N/A
2005/8/7,#N/A
2005/8/8,21.45
2005/8/9,22.05
2005/8/10,22
2005/8/11,22.25
2005/8/12,22.4
2005/8/13,#N/A
2005/8/14,#N/A
2005/8/15,22
2005/8/16,22
2005/8/17,22.45
2005/8/18,22.35
2005/8/19,22.45
2005/8/20,#N/A
2005/8/21,#N/A
2005/8/22,22.65
2005/8/23,22.65
2005/8/24,22.8
2005/8/25,23.1
2005/8/26,23.2
2005/8/27,#N/A
2005/8/28,#N/A
2005/8/29,#N/A
2005/8/30,23.35
2005/8/31,23.65
2005/9/1,24.15
2005/9/2,24.45
2005/9/3,#N/A
2005/9/4,#N/A
2005/9/5,24.4
2005/9/6,24.35
2005/9/7,24.4
2005/9/8,24.1
2005/9/9,23.5
2005/9/10,#N/A
2005/9/11,#N/A
2005/9/12,22.1
2005/9/13,21.6
2005/9/14,22.25
2005/9/15,22.55
2005/9/16,21.95
2005/9/17,#N/A
2005/9/18,#N/A
2005/9/19,22.35
2005/9/20,21.95
2005/9/21,21.9
2005/9/22,22.15
2005/9/23,21.9
2005/9/24,#N/A
2005/9/25,#N/A
2005/9/26,21.45
2005/9/27,22
2005/9/28,22.7
2005/9/29,22.8
2005/9/30,22.65
2005/10/1,#N/A
2005/10/2,#N/A
2005/10/3,22.7
2005/10/4,23.25
2005/10/5,23.9
2005/10/6,23.7
2005/10/7,23.1
2005/10/8,#N/A
2005/10/9,#N/A
2005/10/10,23.15
2005/10/11,23.15
2005/10/12,23.5
2005/10/13,23.5
2005/10/14,23
2005/10/15,#N/A
2005/10/16,#N/A
2005/10/17,23.1
2005/10/18,22.8
2005/10/19,22.4
2005/10/20,22.1
2005/10/21,21.8
2005/10/22,#N/A
2005/10/23,#N/A
2005/10/24,21.4
2005/10/25,21.45
2005/10/26,21.7
2005/10/27,21.85
2005/10/28,22.05
2005/10/29,#N/A
2005/10/30,#N/A
2005/10/31,21.95
2005/11/1,21.75
2005/11/2,21.35
2005/11/3,21.25
2005/11/4,21.35
2005/11/5,#N/A
2005/11/6,#N/A
2005/11/7,21.6
2005/11/8,22.05
2005/11/9,22.5
2005/11/10,22.7
2005/11/11,22.7
2005/11/12,#N/A
2005/11/13,#N/A
2005/11/14,23.15
2005/11/15,22.85
2005/11/16,22.7
2005/11/17,22.45
2005/11/18,21.55
2005/11/19,#N/A
2005/11/20,#N/A
2005/11/21,21.4
2005/11/22,22.05
2005/11/23,21.45
2005/11/24,19.75
2005/11/25,20.1
2005/11/26,#N/A
2005/11/27,#N/A
2005/11/28,20.15
2005/11/29,19.5
2005/11/30,19.6
2005/12/1,20
2005/12/2,21.15
2005/12/3,#N/A
2005/12/4,#N/A
