国家,中国
指标名称,湖北:GDP:累计值
频率,季
单位,亿元
指标ID,M0048984
时间区间,1952-12:2025-03
来源,湖北省统计局
更新时间,20250421
1952/12/31,24.51
1953/3/31,#N/A
1953/6/30,#N/A
1953/9/30,#N/A
1953/12/31,#N/A
1954/3/31,#N/A
1954/6/30,#N/A
1954/9/30,#N/A
1954/12/31,#N/A
1955/3/31,#N/A
1955/6/30,#N/A
1955/9/30,#N/A
1955/12/31,34.05
1956/3/31,#N/A
1956/6/30,#N/A
1956/9/30,#N/A
1956/12/31,#N/A
1957/3/31,#N/A
1957/6/30,#N/A
1957/9/30,#N/A
1957/12/31,48.86
1958/3/31,#N/A
1958/6/30,#N/A
1958/9/30,#N/A
1958/12/31,#N/A
1959/3/31,#N/A
1959/6/30,#N/A
1959/9/30,#N/A
1959/12/31,#N/A
1960/3/31,#N/A
1960/6/30,#N/A
1960/9/30,#N/A
1960/12/31,#N/A
1961/3/31,#N/A
1961/6/30,#N/A
1961/9/30,#N/A
1961/12/31,#N/A
1962/3/31,#N/A
1962/6/30,#N/A
1962/9/30,#N/A
1962/12/31,52.13
1963/3/31,#N/A
1963/6/30,#N/A
1963/9/30,#N/A
1963/12/31,#N/A
1964/3/31,#N/A
1964/6/30,#N/A
1964/9/30,#N/A
1964/12/31,#N/A
1965/3/31,#N/A
1965/6/30,#N/A
1965/9/30,#N/A
1965/12/31,72.43
1966/3/31,#N/A
1966/6/30,#N/A
1966/9/30,#N/A
1966/12/31,#N/A
1967/3/31,#N/A
1967/6/30,#N/A
1967/9/30,#N/A
1967/12/31,#N/A
1968/3/31,#N/A
1968/6/30,#N/A
1968/9/30,#N/A
1968/12/31,#N/A
1969/3/31,#N/A
1969/6/30,#N/A
1969/9/30,#N/A
1969/12/31,#N/A
1970/3/31,#N/A
1970/6/30,#N/A
1970/9/30,#N/A
1970/12/31,88.15
1971/3/31,#N/A
1971/6/30,#N/A
1971/9/30,#N/A
1971/12/31,#N/A
1972/3/31,#N/A
1972/6/30,#N/A
1972/9/30,#N/A
1972/12/31,#N/A
1973/3/31,#N/A
1973/6/30,#N/A
1973/9/30,#N/A
1973/12/31,#N/A
1974/3/31,#N/A
1974/6/30,#N/A
1974/9/30,#N/A
1974/12/31,#N/A
1975/3/31,#N/A
1975/6/30,#N/A
1975/9/30,#N/A
1975/12/31,120.1
1976/3/31,#N/A
1976/6/30,#N/A
1976/9/30,#N/A
1976/12/31,#N/A
1977/3/31,#N/A
1977/6/30,#N/A
1977/9/30,#N/A
1977/12/31,#N/A
1978/3/31,#N/A
1978/6/30,#N/A
1978/9/30,#N/A
1978/12/31,151
1979/3/31,#N/A
1979/6/30,#N/A
1979/9/30,#N/A
1979/12/31,188.46
1980/3/31,#N/A
1980/6/30,#N/A
1980/9/30,#N/A
1980/12/31,199.38
1981/3/31,#N/A
1981/6/30,#N/A
1981/9/30,#N/A
1981/12/31,219.75
1982/3/31,#N/A
1982/6/30,#N/A
1982/9/30,#N/A
1982/12/31,241.55
1983/3/31,#N/A
1983/6/30,#N/A
1983/9/30,#N/A
1983/12/31,262.58
1984/3/31,#N/A
1984/6/30,#N/A
1984/9/30,#N/A
1984/12/31,328.22
1985/3/31,#N/A
1985/6/30,#N/A
1985/9/30,#N/A
1985/12/31,396.26
1986/3/31,#N/A
1986/6/30,#N/A
1986/9/30,#N/A
1986/12/31,442.04
1987/3/31,#N/A
1987/6/30,#N/A
1987/9/30,#N/A
1987/12/31,517.77
1988/3/31,#N/A
1988/6/30,#N/A
1988/9/30,#N/A
1988/12/31,626.52
1989/3/31,#N/A
1989/6/30,#N/A
1989/9/30,#N/A
1989/12/31,717.08
1990/3/31,#N/A
1990/6/30,#N/A
1990/9/30,#N/A
1990/12/31,824.38
1991/3/31,#N/A
1991/6/30,#N/A
1991/9/30,#N/A
1991/12/31,913.38
1992/3/31,#N/A
1992/6/30,#N/A
1992/9/30,#N/A
1992/12/31,1088.39
1993/3/31,#N/A
1993/6/30,#N/A
1993/9/30,#N/A
1993/12/31,1325.83
1994/3/31,#N/A
1994/6/30,#N/A
1994/9/30,#N/A
1994/12/31,1700.92
1995/3/31,#N/A
1995/6/30,#N/A
1995/9/30,#N/A
1995/12/31,2109.38
1996/3/31,#N/A
1996/6/30,#N/A
1996/9/30,#N/A
1996/12/31,2499.77
1997/3/31,#N/A
1997/6/30,#N/A
1997/9/30,#N/A
1997/12/31,2856.47
1998/3/31,#N/A
1998/6/30,#N/A
1998/9/30,#N/A
1998/12/31,3114.02
1999/3/31,#N/A
1999/6/30,#N/A
1999/9/30,#N/A
1999/12/31,3229.29
2000/3/31,#N/A
2000/6/30,#N/A
2000/9/30,2773.5
2000/12/31,3545.39
2001/3/31,784.69
2001/6/30,#N/A
2001/9/30,#N/A
2001/12/31,3880.53
2002/3/31,#N/A
2002/6/30,#N/A
2002/9/30,3470.4
2002/12/31,4212.82
2003/3/31,#N/A
2003/6/30,#N/A
2003/9/30,3789.63
2003/12/31,4757.45
2004/3/31,#N/A
2004/6/30,2800.33
2004/9/30,4463.49
2004/12/31,5633.24
2005/3/31,1557.2
2005/6/30,3195.59
2005/9/30,5031.86
2005/12/31,6590.19
2006/3/31,1533.66
2006/6/30,3288.34
2006/9/30,5168.05
2006/12/31,7617.47
2007/3/31,1738.46
2007/6/30,3953.61
2007/9/30,6272.22
2007/12/31,9333.4
2008/3/31,2157.72
2008/6/30,4971.92
2008/9/30,7913.49
2008/12/31,11328.92
2009/3/31,2423.15
2009/6/30,5378.05
2009/9/30,8656.84
2009/12/31,12961.1
2010/3/31,2934.37
2010/6/30,6896.65
2010/9/30,11093.96
2010/12/31,15967.61
2011/3/31,3592.36
2011/6/30,8571.47
2011/9/30,13578.42
2011/12/31,19632.26
2012/3/31,4233.88
2012/6/30,9885.4
2012/9/30,15390
2012/12/31,22250.45
2013/3/31,4699.47
2013/6/30,10949.3
2013/9/30,17099.64
2013/12/31,24791.83
2014/3/31,5137.26
2014/6/30,12061.99
2014/9/30,18874.15
2014/12/31,27379.22
2015/3/31,5487.93
2015/6/30,13104.78
2015/9/30,20423.41
2015/12/31,29550.1881
2016/3/31,6456.23
2016/6/30,14114.76
2016/9/30,22198.4
2016/12/31,32665.38
2017/3/31,7254.06
2017/6/30,15871.39
2017/9/30,25076.03
2017/12/31,35478.09
2018/3/31,9139
2018/6/30,19243
2018/9/30,29863
2018/12/31,42022
2019/3/31,10085.58
2019/6/30,21304.82
2019/9/30,32969.67
2019/12/31,45828.31
2020/3/31,6379.35
2020/6/30,17480.51
2020/9/30,29779.42
2020/12/31,43443.46
2021/3/31,9872.67
2021/6/30,22777.6914
2021/9/30,34731.56
2021/12/31,50012.94
2022/3/31,10804.66
2022/6/30,24502.7887
2022/9/30,37298.9
2022/12/31,53734.9232
2023/3/31,11899.7189
2023/6/30,26259.2209
2023/9/30,40237.9713
2023/12/31,55803.6284
2024/3/31,12433.4848
2024/6/30,27346.4478
2024/9/30,41655.0054
2024/12/31,60012.97
2025/3/31,13543.4887
,
数据来源：Wind,
