指标名称,湖北:收盘价:碳排放权(HBEA),湖北:成交均价:碳排放权(HBEA),湖北:当日成交量:碳排放权(HBEA),湖北:当日成交额:碳排放权(HBEA),湖北:累计成交量:碳排放权(HBEA),湖北:累计成交量:碳排放权(HBEA)
频率,日,日,日,日,日,日
单位,元/吨,元/吨,吨,元,吨,吨
指标ID,S6324388,S6324389,S6324390,S6324391,S6324392,S6324392
来源,湖北碳排放权交易中心,湖北碳排放权交易中心,湖北碳排放权交易中心,湖北碳排放权交易中心,湖北碳排放权交易中心,湖北碳排放权交易中心
2025/5/6,40.96,40.96,300,12288,1.01215629E8,1.01215629E8
2025/5/5,,,,,1.01215329E8,1.01215329E8
2025/5/4,,,,,1.01215329E8,1.01215329E8
2025/5/3,,,,,1.01215329E8,1.01215329E8
2025/5/2,,,,,1.01215329E8,1.01215329E8
2025/5/1,,,,,1.01215329E8,1.01215329E8
2025/4/30,41,41,3000,123000,1.01215329E8,1.01215329E8
2025/4/29,37.29,37.29,4307,160590.26,1.01212329E8,1.01212329E8
2025/4/28,39.09,39.09,3,117.27,1.01208022E8,1.01208022E8
2025/4/27,,,,,1.01208019E8,1.01208019E8
2025/4/26,,,,,1.01208019E8,1.01208019E8
2025/4/25,37.37,37.37,768,28703.86,1.01208019E8,1.01208019E8
2025/4/24,37.27,37.27,528,19680.18,1.01207251E8,1.01207251E8
2025/4/23,38.3,38.3,2,76.6,1.01206723E8,1.01206723E8
2025/4/22,37.62,37.62,545,20500.62,1.01206721E8,1.01206721E8
2025/4/21,38.55,38.55,52,2004.6,1.01206176E8,1.01206176E8
2025/4/20,,,,,1.01206124E8,1.01206124E8
2025/4/19,,,,,1.01206124E8,1.01206124E8
2025/4/18,37.99,37.99,535,20322.19,1.01206124E8,1.01206124E8
2025/4/17,38.03,38.03,2012,76524.67,1.01205589E8,1.01205589E8
2025/4/16,38.02,38.02,7482,284441.83,1.01203577E8,1.01203577E8
2025/4/15,38.01,38.01,9223,350549.86,1.01196095E8,1.01196095E8
2025/4/14,38.11,38.11,11429,435505.66,1.01186872E8,1.01186872E8
2025/4/13,,,,,1.01175443E8,1.01175443E8
2025/4/12,,,,,1.01175443E8,1.01175443E8
2025/4/11,38.38,38.38,17755,681460.3,1.01175443E8,1.01175443E8
2025/4/10,38.6,38.6,5555,214423,1.01157688E8,1.01157688E8
2025/4/9,38.34,38.34,3286,125971.44,1.01152133E8,1.01152133E8
2025/4/8,38.56,38.56,18761,723479.38,1.01148847E8,1.01148847E8
2025/4/7,38.54,38.54,10010,385786,1.01130086E8,1.01130086E8
2025/4/6,,,,,1.01120076E8,1.01120076E8
2025/4/5,,,,,1.01120076E8,1.01120076E8
2025/4/4,,,,,1.01120076E8,1.01120076E8
2025/4/3,39.09,39.09,13107,512383.23,1.01120076E8,1.01120076E8
2025/4/2,38.42,38.42,11105,426687,1.01106969E8,1.01106969E8
2025/4/1,38.32,38.32,118,4521.66,1.01095864E8,1.01095864E8
2025/3/31,38.6,38.6,35,1351,1.01095746E8,1.01095746E8
2025/3/30,,,,,1.01095711E8,1.01095711E8
2025/3/29,,,,,1.01095711E8,1.01095711E8
2025/3/28,38.73,38.73,263,10186.32,1.01095711E8,1.01095711E8
2025/3/27,38.35,38.35,150,5752.6,1.01095448E8,1.01095448E8
2025/3/26,38.32,38.32,7112,272534.37,1.01095298E8,1.01095298E8
2025/3/25,38.54,38.54,7200,277480,1.01088186E8,1.01088186E8
2025/3/24,38.57,38.57,8571,330609.1,1.01080986E8,1.01080986E8
2025/3/23,,,,,1.01072415E8,1.01072415E8
2025/3/22,,,,,1.01072415E8,1.01072415E8
2025/3/21,39.05,39.05,63,2459.95,1.01072415E8,1.01072415E8
2025/3/20,38.75,38.75,1,38.75,1.01072352E8,1.01072352E8
2025/3/19,38.47,38.47,23013,885407.92,1.01072351E8,1.01072351E8
2025/3/18,38.78,38.78,25,969.56,1.01049338E8,1.01049338E8
2025/3/17,38.85,38.85,1,38.85,1.01049313E8,1.01049313E8
2025/3/16,,,,,1.01049312E8,1.01049312E8
2025/3/15,,,,,1.01049312E8,1.01049312E8
2025/3/14,38.85,38.85,56,2175.45,1.01049312E8,1.01049312E8
2025/3/13,38.95,38.95,21,817.95,1.01049256E8,1.01049256E8
2025/3/12,38.15,38.15,159,6066.16,1.01049235E8,1.01049235E8
2025/3/11,38.3,38.3,10001,383038.94,1.01049076E8,1.01049076E8
2025/3/10,38.2,38.2,5523,210986.71,1.01039075E8,1.01039075E8
2025/3/9,,,,,1.01032518E8,1.01032518E8
2025/3/8,,,,,1.01032518E8,1.01032518E8
2025/3/7,38.26,38.26,1034,39556.51,1.01033552E8,1.01033552E8
2025/3/6,38.21,38.21,257,9820.68,1.01032518E8,1.01032518E8
2025/3/5,38.82,38.82,13122,509365.98,1.01032261E8,1.01032261E8
2025/3/4,38.2,38.2,612,23381.3,1.01019139E8,1.01019139E8
2025/3/3,38.2,38.2,8515,325236.86,1.01018527E8,1.01018527E8
2025/3/2,,,,,1.01010012E8,1.01010012E8
