国家,中国
指标名称,中国:产量:水泥:当月值
频率,月
单位,万吨
指标ID,S0027702
时间区间,1989-02:2025-03
来源,国家统计局
更新时间,20250417
1989/2/28,1266.6
1989/3/31,1697.8
1989/4/30,1869.1
1989/5/31,1905.5
1989/6/30,1889.9
1989/7/31,1693.7
1989/8/31,1757.8
1989/9/30,1877
1989/10/31,1774.7
1989/11/30,1690.7
1989/12/31,1654
1990/1/31,1113.6
1990/2/28,1033.9
1990/3/31,1591.7
1990/4/30,1839.8
1990/5/31,1953.5
1990/6/30,1860.3
1990/7/31,1639.6
1990/8/31,1766.1
1990/9/30,1846.3
1990/10/31,1897.1
1990/11/30,1985.4
1990/12/31,1908.3
1991/1/31,1534.8
1991/2/28,1325.9
1991/3/31,1828.2
1991/4/30,2057.7
1991/5/31,2252.2
1991/6/30,2190.7
1991/7/31,1987.3
1991/8/31,2181.6
1991/9/30,2330.1
1991/10/31,2387.2
1991/11/30,2297.8
1991/12/31,2309
1992/1/31,1768.2
1992/2/29,1700.2
1992/3/31,2232.2
1992/4/30,2434.3
1992/5/31,2715.1
1992/6/30,2723.5
1992/7/31,2589.5
1992/8/31,2666.4
1992/9/30,2764
1992/10/31,2859.5
1992/11/30,2762.4
1992/12/31,2722.2
1993/1/31,2061.2
1993/2/28,2425.3
1993/3/31,2814.8
1993/4/30,3143.3
1993/5/31,3171.2
1993/6/30,3267.2
1993/7/31,3088.5
1993/8/31,3101.4
1993/9/30,3140.2
1993/10/31,3170.1
1993/11/30,3105.2
1993/12/31,3397.4
1994/1/31,2359.48
1994/2/28,2410.82
1994/3/31,3247.6
1994/4/30,3578.34
1994/5/31,3573.63
1994/6/30,3560.65
1994/7/31,3216.93
1994/8/31,3240.29
1994/9/30,3569.82
1994/10/31,3678.39
1994/11/30,3692.77
1994/12/31,3712.02
1995/1/31,2540.88
1995/2/28,2335.02
1995/3/31,3229.22
1995/4/30,4028.32
1995/5/31,4047.31
1995/6/30,3934.68
1995/7/31,3864.13
1995/8/31,3712.84
1995/9/30,3942.06
1995/10/31,3995.62
1995/11/30,4129.18
1995/12/31,4458.96
1996/1/31,3135.37
1996/2/29,2661.66
1996/3/31,3797.16
1996/4/30,3993.76
1996/5/31,4313.48
1996/6/30,4304.62
1996/7/31,3738.91
1996/8/31,3803.93
1996/9/30,4300.96
1996/10/31,4199.12
1996/11/30,4337.52
1996/12/31,4679.06
1997/1/31,3093.97
1997/2/28,2669.68
1997/3/31,3903.63
1997/4/30,4363.6
1997/5/31,4628.21
1997/6/30,4441.84
1997/7/31,3943.03
1997/8/31,4078.08
1997/9/30,4395.19
1997/10/31,4428.01
1997/11/30,4458.09
1997/12/31,4457.05
1998/1/31,2848.49
1998/2/28,3514.14
1998/3/31,3841.05
1998/4/30,4190.14
1998/5/31,4486.25
1998/6/30,4231.55
1998/7/31,3957.48
1998/8/31,4252.5
1998/9/30,4713.44
1998/10/31,4997.54
1998/11/30,5041.73
1998/12/31,5113.6
1999/1/31,3850.19
1999/2/28,2890.6
1999/3/31,4044.21
1999/4/30,4581.93
1999/5/31,4701.19
1999/6/30,4690.34
1999/7/31,4437.09
1999/8/31,4824.61
1999/9/30,4926.26
1999/10/31,4946.24
1999/11/30,5016.64
1999/12/31,5068.79
2000/1/31,3769.14
2000/2/29,2872.18
2000/3/31,4715.34
2000/4/30,5262.9
2000/5/31,5642.78
2000/6/30,5336.63
2000/7/31,4869.98
2000/8/31,5065.99
2000/9/30,5333.31
2000/10/31,5039.42
2000/11/30,5040.58
2000/12/31,5392.31
2001/1/31,3353.93
2001/2/28,3479.35
2001/3/31,5223.08
2001/4/30,5487.52
2001/5/31,5670.23
2001/6/30,5495.29
2001/7/31,5157.31
2001/8/31,5416.48
2001/9/30,5721.25
2001/10/31,5635.62
2001/11/30,5638.59
2001/12/31,6284.75
2002/1/31,4695.15
2002/2/28,3700.8
2002/3/31,5338.88
2002/4/30,6007.7
2002/5/31,6906.96
2002/6/30,6334.62
2002/7/31,6029.58
2002/8/31,6240.97
2002/9/30,6641.25
2002/10/31,6508.17
2002/11/30,6514.81
2002/12/31,6532.24
2003/1/31,4724.16
2003/2/28,4165.41
2003/3/31,6074.7
2003/4/30,6934.24
2003/5/31,7368.7
2003/6/30,7753.33
2003/7/31,6941.81
2003/8/31,7304.58
2003/9/30,7554.45
2003/10/31,7636.98
2003/11/30,7566.56
2003/12/31,7553.04
2004/1/31,5705.06
2004/2/29,5721.36
2004/3/31,7280.15
2004/4/30,8055.99
2004/5/31,8335.59
2004/6/30,8387.35
2004/7/31,7762.08
2004/8/31,8030.85
2004/9/30,8292.08
2004/10/31,8755.9
2004/11/30,8835.41
2004/12/31,8702.55
2005/1/31,5461.08
2005/2/28,4343.6
2005/3/31,7279.45
2005/4/30,8762.08
2005/5/31,9285.61
2005/6/30,9528.49
2005/7/31,8810.6
2005/8/31,9129.14
2005/9/30,9598.51
2005/10/31,9538.62
2005/11/30,10054.96
2005/12/31,10186.08
2006/1/31,6489.79
2006/2/28,5748.63
2006/3/31,9263.67
