国家,美国
指标名称,期货收盘价(连续):NYMEX天然气
频率,日
单位,美元/百万英热单位
指标ID,S0069682
时间区间,1990-04-03:2025-05-14
来源,NYMEX
更新时间,20250515
1990/4/3,1.635
1990/4/4,1.62
1990/4/5,1.615
1990/4/6,1.625
1990/4/7,#N/A
1990/4/8,#N/A
1990/4/9,1.637
1990/4/10,1.62
1990/4/11,1.605
1990/4/12,1.598
1990/4/13,#N/A
1990/4/14,#N/A
1990/4/15,#N/A
1990/4/16,1.598
1990/4/17,1.585
1990/4/18,1.583
1990/4/19,1.57
1990/4/20,1.543
1990/4/21,#N/A
1990/4/22,#N/A
1990/4/23,1.555
1990/4/24,1.555
1990/4/25,1.552
1990/4/26,1.558
1990/4/27,1.555
1990/4/28,#N/A
1990/4/29,#N/A
1990/4/30,1.565
1990/5/1,1.565
1990/5/2,1.575
1990/5/3,1.575
1990/5/4,1.575
1990/5/5,#N/A
1990/5/6,#N/A
1990/5/7,1.58
1990/5/8,1.583
1990/5/9,1.576
1990/5/10,1.574
1990/5/11,1.565
1990/5/12,#N/A
1990/5/13,#N/A
1990/5/14,1.556
1990/5/15,1.553
1990/5/16,1.57
1990/5/17,1.57
1990/5/18,1.554
1990/5/19,#N/A
1990/5/20,#N/A
1990/5/21,1.557
1990/5/22,#N/A
1990/5/23,#N/A
1990/5/24,#N/A
1990/5/25,#N/A
1990/5/26,#N/A
1990/5/27,#N/A
1990/5/28,#N/A
1990/5/29,#N/A
1990/5/30,1.585
1990/5/31,1.59
1990/6/1,1.585
1990/6/2,#N/A
1990/6/3,#N/A
1990/6/4,1.582
1990/6/5,1.567
1990/6/6,1.56
1990/6/7,1.573
1990/6/8,1.575
1990/6/9,#N/A
1990/6/10,#N/A
1990/6/11,1.572
1990/6/12,1.558
1990/6/13,1.545
1990/6/14,1.547
1990/6/15,1.547
1990/6/16,#N/A
1990/6/17,#N/A
1990/6/18,1.54
1990/6/19,1.536
1990/6/20,1.51
1990/6/21,#N/A
1990/6/22,#N/A
1990/6/23,#N/A
1990/6/24,#N/A
1990/6/25,#N/A
1990/6/26,#N/A
1990/6/27,#N/A
1990/6/28,1.515
1990/6/29,1.519
1990/6/30,#N/A
1990/7/1,#N/A
1990/7/2,1.519
1990/7/3,1.525
1990/7/4,#N/A
1990/7/5,1.514
1990/7/6,1.498
1990/7/7,#N/A
1990/7/8,#N/A
1990/7/9,1.493
1990/7/10,1.5
1990/7/11,1.5
1990/7/12,1.502
1990/7/13,1.5
1990/7/14,#N/A
1990/7/15,#N/A
1990/7/16,1.495
1990/7/17,1.462
1990/7/18,1.45
1990/7/19,1.445
1990/7/20,1.426
1990/7/21,#N/A
1990/7/22,#N/A
1990/7/23,1.46
1990/7/24,1.44
1990/7/25,1.44
1990/7/26,1.435
1990/7/27,1.439
1990/7/28,#N/A
1990/7/29,#N/A
1990/7/30,1.43
1990/7/31,1.411
1990/8/1,1.402
1990/8/2,1.432
1990/8/3,1.51
1990/8/4,#N/A
1990/8/5,#N/A
1990/8/6,1.588
1990/8/7,1.477
1990/8/8,1.475
1990/8/9,1.47
1990/8/10,1.49
1990/8/11,#N/A
1990/8/12,#N/A
1990/8/13,1.465
1990/8/14,1.448
1990/8/15,1.428
1990/8/16,1.43
1990/8/17,1.44
1990/8/18,#N/A
1990/8/19,#N/A
1990/8/20,1.417
1990/8/21,1.42
1990/8/22,1.428
1990/8/23,1.545
1990/8/24,1.525
1990/8/25,#N/A
1990/8/26,#N/A
1990/8/27,1.502
1990/8/28,1.5
1990/8/29,1.505
1990/8/30,1.537
1990/8/31,1.5
1990/9/1,#N/A
1990/9/2,#N/A
1990/9/3,#N/A
1990/9/4,1.51
1990/9/5,1.514
1990/9/6,1.53
1990/9/7,1.51
1990/9/8,#N/A
1990/9/9,#N/A
1990/9/10,1.525
1990/9/11,1.525
1990/9/12,1.543
1990/9/13,1.54
1990/9/14,1.52
1990/9/15,#N/A
1990/9/16,#N/A
1990/9/17,1.537
1990/9/18,1.56
1990/9/19,1.555
1990/9/20,1.846
1990/9/21,1.872
1990/9/22,#N/A
1990/9/23,#N/A
1990/9/24,1.936
1990/9/25,1.93
1990/9/26,1.945
1990/9/27,1.94
1990/9/28,1.935
1990/9/29,#N/A
1990/9/30,#N/A
1990/10/1,1.909
1990/10/2,1.88
1990/10/3,1.915
1990/10/4,1.898
1990/10/5,1.935
1990/10/6,#N/A
1990/10/7,#N/A
1990/10/8,1.93
1990/10/9,1.94
1990/10/10,1.94
1990/10/11,1.96
1990/10/12,1.95
1990/10/13,#N/A
1990/10/14,#N/A
1990/10/15,1.9
1990/10/16,1.91
1990/10/17,1.9
1990/10/18,1.89
1990/10/19,1.9
1990/10/20,#N/A
1990/10/21,#N/A
1990/10/22,1.97
1990/10/23,2.52
1990/10/24,2.44
1990/10/25,2.446
1990/10/26,2.448
1990/10/27,#N/A
1990/10/28,#N/A
1990/10/29,2.434
1990/10/30,2.408
1990/10/31,2.36
1990/11/1,2.35
1990/11/2,2.358
1990/11/3,#N/A
1990/11/4,#N/A
1990/11/5,2.385
1990/11/6,2.383
1990/11/7,2.45
1990/11/8,2.435
1990/11/9,2.429
1990/11/10,#N/A
1990/11/11,#N/A
1990/11/12,2.41
1990/11/13,2.411
1990/11/14,2.428
1990/11/15,2.4
1990/11/16,2.335
1990/11/17,#N/A
1990/11/18,#N/A
1990/11/19,2.35
1990/11/20,2.38
1990/11/21,2.61
1990/11/22,#N/A
1990/11/23,2.605
1990/11/24,#N/A
1990/11/25,#N/A
1990/11/26,2.618
1990/11/27,2.54
1990/11/28,2.505
1990/11/29,2.49
1990/11/30,2.445
1990/12/1,#N/A
1990/12/2,#N/A
1990/12/3,2.475
1990/12/4,2.44
1990/12/5,2.402
1990/12/6,2.351
1990/12/7,2.35
1990/12/8,#N/A
1990/12/9,#N/A
1990/12/10,2.355
1990/12/11,2.285
1990/12/12,2.204
1990/12/13,2.22
1990/12/14,2.262
1990/12/15,#N/A
1990/12/16,#N/A
1990/12/17,2.175
1990/12/18,2.046
1990/12/19,2.046
1990/12/20,1.92
1990/12/21,1.962
1990/12/22,#N/A
1990/12/23,#N/A
1990/12/24,1.962
1990/12/25,#N/A
1990/12/26,1.999
1990/12/27,1.96
1990/12/28,1.95
1990/12/29,#N/A
1990/12/30,#N/A
1990/12/31,1.95
1991/1/1,#N/A
1991/1/2,1.832
1991/1/3,1.782
1991/1/4,1.743
1991/1/5,#N/A
1991/1/6,#N/A
1991/1/7,1.785
1991/1/8,1.786
1991/1/9,1.728
1991/1/10,1.698
1991/1/11,1.695
1991/1/12,#N/A
1991/1/13,#N/A
1991/1/14,1.728
1991/1/15,1.72
1991/1/16,1.719
1991/1/17,1.621
1991/1/18,1.567
1991/1/19,#N/A
1991/1/20,#N/A
1991/1/21,1.57
1991/1/22,1.538
1991/1/23,1.385
1991/1/24,1.382
1991/1/25,1.399
1991/1/26,#N/A
1991/1/27,#N/A
1991/1/28,1.381
1991/1/29,1.385
1991/1/30,1.38
1991/1/31,1.38
1991/2/1,1.38
1991/2/2,#N/A
1991/2/3,#N/A
1991/2/4,1.368
1991/2/5,1.37
1991/2/6,1.371
1991/2/7,1.38
1991/2/8,1.365
1991/2/9,#N/A
1991/2/10,#N/A
1991/2/11,1.353
1991/2/12,1.348
1991/2/13,1.35
1991/2/14,1.367
1991/2/15,1.385
1991/2/16,#N/A
1991/2/17,#N/A
1991/2/18,#N/A
1991/2/19,1.395
1991/2/20,1.355
