国家,中国
指标名称,湖北:用电量:当月值
频率,月
单位,万千瓦时
指标ID,S5108117
时间区间,2006-03:2025-03
来源,Wind
更新时间,20250506
2006/3/31,677794
2006/4/30,660387
2006/5/31,693013
2006/6/30,778288
2006/7/31,854136
2006/8/31,862888
2006/9/30,738047
2006/10/31,712880
2006/11/30,710002
2006/12/31,822889
2007/1/31,802749
2007/2/28,617595
2007/3/31,760841
2007/4/30,755752
2007/5/31,815786
2007/6/30,826137
2007/7/31,924237
2007/8/31,971698
2007/9/30,846839
2007/10/31,840892
2007/11/30,827469
2007/12/31,904420
2008/1/31,902028
2008/2/29,746416
2008/3/31,860712
2008/4/30,844599
2008/5/31,917339
2008/6/30,950196
2008/7/31,1007983
2008/8/31,1008357
2008/9/30,945077
2008/10/31,776016
2008/11/30,776809
2008/12/31,852305
2009/1/31,794239
2009/2/28,745644
2009/3/31,866748
2009/4/30,835668
2009/5/31,862647
2009/6/30,986093
2009/7/31,1130177
2009/8/31,1122271
2009/9/30,977687
2009/10/31,976256
2009/11/30,996647
2009/12/31,975895
2010/1/31,1088903
2010/2/28,875155
2010/3/31,1056132
2010/4/30,1011498
2010/5/31,1020000
2010/6/30,1110000
2010/7/31,1220000
2010/8/31,1341000
2010/9/30,1143500
2010/10/31,1110000
2010/11/30,1131954
2010/12/31,1190533
2011/1/31,1240000
2011/2/28,980000
2011/3/31,1180000
2011/4/30,1140000
2011/5/31,1210000
2011/6/30,1190000
2011/7/31,1450000
2011/8/31,1340000
2011/9/30,1220000
2011/10/31,1150000
2011/11/30,1130000
2011/12/31,1267607
2012/1/31,1170000
2012/2/29,1210000
2012/3/31,1280000
2012/4/30,1136573
2012/5/31,1171308
2012/6/30,1271347
2012/7/31,1494986
2012/8/31,1389518
2012/9/30,1172842
2012/10/31,1174123
2012/11/30,1170000
2012/12/31,1448504
2013/1/31,1383800
2013/2/28,1040462
2013/3/31,1249166
2013/4/30,1181632
2013/5/31,1233462
2013/6/30,1362872
2013/7/31,1679185
2013/8/31,1695707
2013/9/30,1338274
2013/10/31,1303359
2013/11/30,1291484
2013/12/31,1538115
2014/1/31,1355162
2014/2/28,1225254
2014/3/31,1350000
2014/4/30,1270000
2014/5/31,1320000
2014/6/30,1400000
2014/7/31,1570000
2014/8/31,1500000
2014/9/30,1342886
2014/10/31,1311264
2014/11/30,1327770
2014/12/31,1591652
2015/1/31,1469073
2015/2/28,1126066
2015/3/31,1297418
2015/4/30,1289744
2015/5/31,1318981
2015/6/30,1377494
2015/7/31,1538645
2015/8/31,1644809
2015/9/30,1363553
2015/10/31,1307965
2015/11/30,1369827
2015/12/31,1547996
2016/1/31,1592819
2016/2/29,1158628
2016/3/31,1368092
2016/4/30,1306845
2016/5/31,1350796
2016/6/30,1422802
2016/7/31,1740842
2016/8/31,1859835
2016/9/30,1492649
2016/10/31,1381307
2016/11/30,1409557
2016/12/31,1546936
2017/1/31,1483744
2017/2/28,1333138
2017/3/31,1453893
2017/4/30,1373397
2017/5/31,1430811
2017/6/30,1521334
2017/7/31,2005236
2017/8/31,1884299
2017/9/30,1550607
2017/10/31,1462072
2017/11/30,1494495
2017/12/31,1696937
2018/1/31,1870000
2018/2/28,1370000
2018/3/31,1510000
2018/4/30,1460000
2018/5/31,1580000
2018/6/30,1760000
2018/7/31,2140000
2018/8/31,2130000
2018/9/30,1800000
2018/10/31,1580000
2018/11/30,1580000
2018/12/31,1930000
2019/1/31,1990000
2019/2/28,1590000
2019/3/31,1700000
2019/4/30,1610000
2019/5/31,1680000
2019/6/30,1820000
2019/7/31,2170000
2019/8/31,2390000
2019/9/30,1900000
2019/10/31,1630000
2019/11/30,1680000
2019/12/31,1970000
2020/1/31,1840000
2020/2/29,1040000
2020/3/31,1220000
2020/4/30,1520000
2020/5/31,1730000
2020/6/30,1880000
2020/7/31,1990000
2020/8/31,2460000
2020/9/30,1900000
2020/10/31,1750000
2020/11/30,1850000
2020/12/31,2250000
2021/1/31,2190000
2021/2/28,1480000
2021/3/31,1940000
2021/4/30,1830000
2021/5/31,1920000
2021/6/30,2190000
2021/7/31,2470000
2021/8/31,2340000
2021/9/30,2240000
2021/10/31,2010000
2021/11/30,1920000
2021/12/31,2200000
2022/1/31,2250000
2022/2/28,1970000
2022/3/31,2040000
2022/4/30,1890000
2022/5/31,1990000
2022/6/30,2340000
2022/7/31,2780000
2022/8/31,2990000
2022/9/30,2100000
2022/10/31,1960000
2022/11/30,1890000
2022/12/31,2290000
2023/1/31,#N/A
2023/2/28,#N/A
2023/3/31,2120000
2023/4/30,1980000
2023/5/31,2060000
2023/6/30,2230000
2023/7/31,2790000
2023/8/31,2890000
2023/9/30,2300000
2023/10/31,2090000
2023/11/30,2112519.268
2023/12/31,2445074.857
2024/1/31,#N/A
2024/2/29,#N/A
2024/3/31,2210000
2024/4/30,2070000
2024/5/31,2270000
2024/6/30,2410000
2024/7/31,3050000
2024/8/31,3270000
2024/9/30,2720000
2024/10/31,2210000
2024/11/30,2180000
2024/12/31,2527612.689
2025/1/31,#N/A
2025/2/28,#N/A
2025/3/31,2385439.527
,
数据来源：Wind,
