国家,
指标名称,现货价:动力煤:欧洲ARA港
频率,日
单位,美元/吨
指标ID,S5101710
时间区间,2008-05-16:2025-05-09
来源,根据新闻整理
更新时间,20250513
2008/5/16,156.79
2008/5/17,#N/A
2008/5/18,#N/A
2008/5/19,#N/A
2008/5/20,#N/A
2008/5/21,#N/A
2008/5/22,#N/A
2008/5/23,166.08
2008/5/24,#N/A
2008/5/25,#N/A
2008/5/26,#N/A
2008/5/27,#N/A
2008/5/28,#N/A
2008/5/29,#N/A
2008/5/30,171.34
2008/5/31,#N/A
2008/6/1,#N/A
2008/6/2,#N/A
2008/6/3,#N/A
2008/6/4,#N/A
2008/6/5,#N/A
2008/6/6,173.57
2008/6/7,#N/A
2008/6/8,#N/A
2008/6/9,#N/A
2008/6/10,#N/A
2008/6/11,#N/A
2008/6/12,#N/A
2008/6/13,177.37
2008/6/14,#N/A
2008/6/15,#N/A
2008/6/16,#N/A
2008/6/17,#N/A
2008/6/18,#N/A
2008/6/19,#N/A
2008/6/20,185.53
2008/6/21,#N/A
2008/6/22,#N/A
2008/6/23,#N/A
2008/6/24,#N/A
2008/6/25,#N/A
2008/6/26,#N/A
2008/6/27,203.44
2008/6/28,#N/A
2008/6/29,#N/A
2008/6/30,#N/A
2008/7/1,#N/A
2008/7/2,#N/A
2008/7/3,#N/A
2008/7/4,219.6
2008/7/5,#N/A
2008/7/6,#N/A
2008/7/7,#N/A
2008/7/8,#N/A
2008/7/9,#N/A
2008/7/10,#N/A
2008/7/11,217.86
2008/7/12,#N/A
2008/7/13,#N/A
2008/7/14,#N/A
2008/7/15,#N/A
2008/7/16,#N/A
2008/7/17,#N/A
2008/7/18,213.58
2008/7/19,#N/A
2008/7/20,#N/A
2008/7/21,#N/A
2008/7/22,#N/A
2008/7/23,#N/A
2008/7/24,#N/A
2008/7/25,195.26
2008/7/26,#N/A
2008/7/27,#N/A
2008/7/28,#N/A
2008/7/29,#N/A
2008/7/30,#N/A
2008/7/31,#N/A
2008/8/1,188.91
2008/8/2,#N/A
2008/8/3,#N/A
2008/8/4,#N/A
2008/8/5,#N/A
2008/8/6,#N/A
2008/8/7,#N/A
