date,value,value_filled
2012-01-01,,False
2012-01-02,,False
2012-01-03,,False
2012-01-04,,False
2012-01-05,,False
2012-01-06,110.23,False
2012-01-07,110.23,True
2012-01-08,110.23,True
2012-01-09,110.23,True
2012-01-10,110.23,True
2012-01-11,110.23,True
2012-01-12,110.23,True
2012-01-13,107.5,False
2012-01-14,107.5,True
2012-01-15,107.5,True
2012-01-16,107.5,True
2012-01-17,107.5,True
2012-01-18,106.0,False
2012-01-19,106.0,True
2012-01-20,103.08,False
2012-01-21,103.08,True
2012-01-22,103.08,True
2012-01-23,103.08,True
2012-01-24,103.08,True
2012-01-25,103.08,True
2012-01-26,106.0,False
2012-01-27,106.0,False
2012-01-28,106.0,True
2012-01-29,106.0,True
2012-01-30,106.0,False
2012-01-31,102.85,False
2012-02-01,101.0,False
2012-02-02,101.8,False
2012-02-03,101.25,False
2012-02-04,101.25,True
2012-02-05,101.25,True
2012-02-06,100.65,False
2012-02-07,99.8,False
2012-02-08,99.25,False
2012-02-09,99.4,False
2012-02-10,98.5,False
2012-02-11,98.5,True
2012-02-12,98.5,True
2012-02-13,98.75,False
2012-02-14,98.8,False
2012-02-15,98.65,False
2012-02-16,99.0,False
2012-02-17,97.58,False
2012-02-18,97.58,True
2012-02-19,97.58,True
2012-02-20,97.58,True
2012-02-21,97.58,True
2012-02-22,97.58,True
2012-02-23,97.58,True
2012-02-24,99.6,False
2012-02-25,99.6,True
2012-02-26,99.6,True
2012-02-27,99.6,True
2012-02-28,99.6,True
2012-02-29,99.6,True
2012-03-01,99.6,True
2012-03-02,97.83,False
2012-03-03,97.83,True
2012-03-04,97.83,True
2012-03-05,97.83,True
2012-03-06,97.83,True
2012-03-07,97.83,True
2012-03-08,97.83,True
2012-03-09,96.68,False
2012-03-10,96.68,True
2012-03-11,96.68,True
2012-03-12,96.68,True
2012-03-13,96.68,True
2012-03-14,96.68,True
2012-03-15,96.68,True
2012-03-16,96.53,False
2012-03-17,96.53,True
2012-03-18,96.53,True
2012-03-19,96.53,True
2012-03-20,96.53,True
2012-03-21,96.53,True
2012-03-22,96.53,True
2012-03-23,96.44,False
2012-03-24,96.44,True
2012-03-25,96.44,True
2012-03-26,96.44,True
2012-03-27,96.44,True
2012-03-28,96.44,True
2012-03-29,96.44,True
2012-03-30,98.14,False
2012-03-31,98.14,True
2012-04-01,98.14,True
2012-04-02,98.14,True
2012-04-03,98.14,True
2012-04-04,98.14,True
2012-04-05,98.69,False
2012-04-06,98.69,True
2012-04-07,98.69,True
2012-04-08,98.69,True
2012-04-09,98.69,True
2012-04-10,98.69,True
2012-04-11,98.69,True
2012-04-12,98.69,True
2012-04-13,96.68,False
2012-04-14,96.68,True
2012-04-15,96.68,True
2012-04-16,96.68,True
2012-04-17,96.68,True
2012-04-18,96.68,True
2012-04-19,96.68,True
2012-04-20,96.22,False
2012-04-21,96.22,True
2012-04-22,96.22,True
2012-04-23,96.22,True
2012-04-24,96.22,True
2012-04-25,96.22,True
2012-04-26,96.22,True
2012-04-27,94.21,False
2012-04-28,94.21,True
2012-04-29,94.21,True
2012-04-30,94.21,True
2012-05-01,94.21,True
2012-05-02,94.21,True
2012-05-03,94.21,True
2012-05-04,88.6,False
2012-05-05,88.6,True
2012-05-06,88.6,True
2012-05-07,88.6,True
2012-05-08,88.6,True
2012-05-09,88.6,True
2012-05-10,88.6,True
2012-05-11,86.9,False
2012-05-12,86.9,True
2012-05-13,86.9,True
2012-05-14,86.9,True
2012-05-15,86.9,True
2012-05-16,86.9,True
2012-05-17,86.9,True
2012-05-18,87.12,False
2012-05-19,87.12,True
2012-05-20,87.12,True
2012-05-21,87.12,True
2012-05-22,87.12,True
2012-05-23,87.12,True
2012-05-24,87.12,True
2012-05-25,84.32,False
2012-05-26,84.32,True
2012-05-27,84.32,True
2012-05-28,84.32,True
2012-05-29,84.32,True
2012-05-30,84.32,True
2012-05-31,84.32,True
2012-06-01,88.1,False
2012-06-02,88.1,True
2012-06-03,88.1,True
2012-06-04,88.1,True
2012-06-05,88.1,True
2012-06-06,88.1,True
2012-06-07,88.1,True
2012-06-08,86.97,False
2012-06-09,86.97,True
2012-06-10,86.97,True
2012-06-11,86.97,True
2012-06-12,86.97,True
2012-06-13,86.97,True
2012-06-14,86.97,True
2012-06-15,84.47,False
2012-06-16,84.47,True
2012-06-17,84.47,True
2012-06-18,84.47,True
2012-06-19,84.47,True
2012-06-20,84.47,True
2012-06-21,84.47,True
2012-06-22,86.52,False
2012-06-23,86.52,True
2012-06-24,86.52,True
2012-06-25,86.52,True
2012-06-26,86.52,True
2012-06-27,86.52,True
2012-06-28,86.52,True
2012-06-29,89.66,False
2012-06-30,89.66,True
2012-07-01,89.66,True
2012-07-02,89.66,True
2012-07-03,89.66,True
2012-07-04,89.66,True
2012-07-05,89.66,True
2012-07-06,89.99,False
2012-07-07,89.99,True
2012-07-08,89.99,True
2012-07-09,89.99,True
2012-07-10,89.99,True
2012-07-11,89.99,True
2012-07-12,89.99,True
2012-07-13,87.61,False
2012-07-14,87.61,True
2012-07-15,87.61,True
2012-07-16,87.61,True
2012-07-17,87.61,True
2012-07-18,87.61,True
2012-07-19,87.61,True
2012-07-20,89.46,False
2012-07-21,89.46,True
2012-07-22,89.46,True
2012-07-23,89.46,True
2012-07-24,89.46,True
2012-07-25,89.46,True
2012-07-26,89.46,True
2012-07-27,89.86,False
2012-07-28,89.86,True
2012-07-29,89.86,True
2012-07-30,89.86,True
2012-07-31,89.86,True
2012-08-01,89.86,True
2012-08-02,89.86,True
2012-08-03,93.6,False
2012-08-04,93.6,True
2012-08-05,93.6,True
2012-08-06,93.6,True
2012-08-07,93.6,True
2012-08-08,93.6,True
2012-08-09,93.6,True
2012-08-10,96.34,False
2012-08-11,96.34,True
2012-08-12,96.34,True
2012-08-13,96.34,True
2012-08-14,96.34,True
2012-08-15,96.34,True
2012-08-16,96.34,True
2012-08-17,94.56,False
2012-08-18,94.56,True
2012-08-19,94.56,True
2012-08-20,94.56,True
2012-08-21,94.56,True
2012-08-22,94.56,True
2012-08-23,94.56,True
2012-08-24,93.69,False
2012-08-25,93.69,True
2012-08-26,93.69,True
2012-08-27,93.69,True
2012-08-28,93.69,True
2012-08-29,93.69,True
2012-08-30,93.69,True
2012-08-31,91.17,False
2012-09-01,91.17,True
2012-09-02,91.17,True
2012-09-03,91.17,True
2012-09-04,91.17,True
2012-09-05,91.17,True
2012-09-06,91.17,True
2012-09-07,92.54,False
2012-09-08,92.54,True
2012-09-09,92.54,True
2012-09-10,92.54,True
2012-09-11,92.54,True
2012-09-12,92.54,True
2012-09-13,92.54,True
2012-09-14,90.14,False
2012-09-15,90.14,True
2012-09-16,90.14,True
2012-09-17,90.14,True
2012-09-18,90.14,True
2012-09-19,90.14,True
2012-09-20,90.14,True
2012-09-21,88.03,False
2012-09-22,88.03,True
2012-09-23,88.03,True
2012-09-24,88.03,True
2012-09-25,88.03,True
2012-09-26,88.03,True
2012-09-27,88.03,True
2012-09-28,86.08,False
2012-09-29,86.08,True
2012-09-30,86.08,True
2012-10-01,86.08,True
2012-10-02,86.08,True
2012-10-03,86.08,True
2012-10-04,86.08,True
2012-10-05,87.2,False
2012-10-06,87.2,True
2012-10-07,87.2,True
2012-10-08,87.2,True
2012-10-09,87.2,True
2012-10-10,87.2,True
2012-10-11,87.2,True
2012-10-12,87.02,False
2012-10-13,87.02,True
2012-10-14,87.02,True
2012-10-15,87.02,True
2012-10-16,87.02,True
2012-10-17,87.02,True
2012-10-18,87.02,True
2012-10-19,86.02,False
2012-10-20,86.02,True
2012-10-21,86.02,True
2012-10-22,86.02,True
2012-10-23,86.02,True
2012-10-24,86.02,True
2012-10-25,86.02,True
2012-10-26,86.17,False
2012-10-27,86.17,True
2012-10-28,86.17,True
2012-10-29,86.17,True
2012-10-30,86.17,True
2012-10-31,86.17,True
2012-11-01,86.17,True
2012-11-02,85.33,False
2012-11-03,85.33,True
2012-11-04,85.33,True
2012-11-05,85.33,True
2012-11-06,85.33,True
2012-11-07,85.33,True
2012-11-08,85.33,True
2012-11-09,87.52,False
2012-11-10,87.52,True
2012-11-11,87.52,True
2012-11-12,87.52,True
2012-11-13,87.52,True
2012-11-14,87.52,True
2012-11-15,87.52,True
2012-11-16,90.96,False
2012-11-17,90.96,True
2012-11-18,90.96,True
2012-11-19,90.96,True
2012-11-20,90.96,True
2012-11-21,90.96,True
2012-11-22,90.96,True
2012-11-23,91.78,False
2012-11-24,91.78,True
2012-11-25,91.78,True
2012-11-26,91.78,True
2012-11-27,91.78,True
2012-11-28,91.78,True
2012-11-29,91.78,True
2012-11-30,92.97,False
2012-12-01,92.97,True
2012-12-02,92.97,True
2012-12-03,92.97,True
2012-12-04,92.97,True
2012-12-05,92.97,True
2012-12-06,92.97,True
2012-12-07,92.48,False
2012-12-08,92.48,True
2012-12-09,92.48,True
2012-12-10,92.48,True
2012-12-11,92.48,True
2012-12-12,92.48,True
2012-12-13,92.48,True
2012-12-14,88.52,False
2012-12-15,88.52,True
2012-12-16,88.52,True
2012-12-17,88.52,True
2012-12-18,88.52,True
2012-12-19,88.52,True
2012-12-20,88.52,True
2012-12-21,90.54,False
2012-12-22,90.54,True
2012-12-23,90.54,True
2012-12-24,90.54,True
2012-12-25,90.54,True
2012-12-26,90.54,True
2012-12-27,90.54,True
2012-12-28,89.5,False
2012-12-29,89.5,True
2012-12-30,89.5,True
2012-12-31,89.5,True
2013-01-01,89.5,True
2013-01-02,89.5,True
2013-01-03,89.5,True
2013-01-04,87.1,False
2013-01-05,87.1,True
2013-01-06,87.1,True
2013-01-07,87.1,True
2013-01-08,87.1,True
2013-01-09,87.1,True
2013-01-10,87.1,True
2013-01-11,86.28,False
2013-01-12,86.28,True
2013-01-13,86.28,True
2013-01-14,86.28,True
2013-01-15,86.28,True
2013-01-16,86.28,True
2013-01-17,86.28,True
2013-01-18,84.77,False
2013-01-19,84.77,True
2013-01-20,84.77,True
2013-01-21,84.77,True
2013-01-22,84.77,True
2013-01-23,84.77,True
2013-01-24,84.77,True
2013-01-25,85.47,False
2013-01-26,85.47,True
2013-01-27,85.47,True
2013-01-28,85.47,True
2013-01-29,85.47,True
2013-01-30,85.47,True
2013-01-31,85.47,True
2013-02-01,86.46,False
2013-02-02,86.46,True
2013-02-03,86.46,True
2013-02-04,86.46,True
2013-02-05,86.46,True
2013-02-06,86.46,True
2013-02-07,86.46,True
2013-02-08,87.18,False
2013-02-09,87.18,True
2013-02-10,87.18,True
2013-02-11,87.18,True
2013-02-12,87.18,True
2013-02-13,87.18,True
2013-02-14,87.18,True
2013-02-15,88.94,False
2013-02-16,88.94,True
2013-02-17,88.94,True
2013-02-18,88.94,True
2013-02-19,88.94,True
2013-02-20,88.94,True
2013-02-21,88.94,True
2013-02-22,89.54,False
2013-02-23,89.54,True
2013-02-24,89.54,True
2013-02-25,89.54,True
2013-02-26,89.54,True
2013-02-27,89.54,True
2013-02-28,89.54,True
2013-03-01,90.27,False
2013-03-02,90.27,True
2013-03-03,90.27,True
2013-03-04,90.27,True
2013-03-05,90.27,True
2013-03-06,90.27,True
2013-03-07,90.27,True
2013-03-08,86.5,False
2013-03-09,86.5,True
2013-03-10,86.5,True
2013-03-11,86.5,True
2013-03-12,86.5,True
2013-03-13,86.5,True
2013-03-14,86.5,True
2013-03-15,86.11,False
2013-03-16,86.11,True
2013-03-17,86.11,True
2013-03-18,86.11,True
