date,value,value_filled
2012-01-01,,False
2012-01-02,,False
2012-01-03,112.1,False
2012-01-04,113.7,False
2012-01-05,112.7,False
2012-01-06,113.1,False
2012-01-07,112.9,True
2012-01-08,112.7,True
2012-01-09,112.4,False
2012-01-10,113.3,False
2012-01-11,112.2,False
2012-01-12,111.3,False
2012-01-13,110.4,False
2012-01-14,110.7,True
2012-01-15,110.9,True
2012-01-16,111.2,False
2012-01-17,111.5,False
2012-01-18,110.7,False
2012-01-19,111.6,False
2012-01-20,109.9,False
2012-01-21,110.1,True
2012-01-22,110.3,True
2012-01-23,110.6,False
2012-01-24,110.0,False
2012-01-25,109.8,False
2012-01-26,110.8,False
2012-01-27,111.5,False
2012-01-28,111.2,True
2012-01-29,111.0,True
2012-01-30,110.8,False
2012-01-31,111.0,False
2012-02-01,111.6,False
2012-02-02,112.1,False
2012-02-03,114.6,False
2012-02-04,115.0,True
2012-02-05,115.5,True
2012-02-06,115.9,False
2012-02-07,116.2,False
2012-02-08,117.2,False
2012-02-09,118.6,False
2012-02-10,117.3,False
2012-02-11,117.5,True
2012-02-12,117.7,True
2012-02-13,117.9,False
2012-02-14,118.2,False
2012-02-15,118.9,False
2012-02-16,120.1,False
2012-02-17,119.6,False
2012-02-18,119.7,True
2012-02-19,119.9,True
2012-02-20,120.0,False
2012-02-21,121.7,False
2012-02-22,122.9,False
2012-02-23,123.6,False
2012-02-24,125.5,False
2012-02-25,125.0,True
2012-02-26,124.6,True
2012-02-27,124.2,False
2012-02-28,121.6,False
2012-02-29,122.7,False
2012-03-01,126.2,False
2012-03-02,123.6,False
2012-03-03,123.7,True
2012-03-04,123.8,True
2012-03-05,123.8,False
2012-03-06,122.0,False
2012-03-07,124.1,False
2012-03-08,125.4,False
2012-03-09,126.0,False
2012-03-10,125.8,True
2012-03-11,125.6,True
2012-03-12,125.3,False
2012-03-13,126.2,False
2012-03-14,125.0,False
2012-03-15,123.6,False
2012-03-16,125.8,False
2012-03-17,125.8,True
2012-03-18,125.7,True
2012-03-19,125.7,False
2012-03-20,124.1,False
2012-03-21,124.2,False
2012-03-22,123.1,False
2012-03-23,125.1,False
2012-03-24,125.3,True
2012-03-25,125.5,True
2012-03-26,125.6,False
2012-03-27,125.5,False
2012-03-28,124.2,False
2012-03-29,122.4,False
2012-03-30,122.9,False
2012-03-31,123.7,True
2012-04-01,124.6,True
2012-04-02,125.4,False
2012-04-03,124.9,False
2012-04-04,122.3,False
2012-04-05,123.4,False
2012-04-06,123.2,True
2012-04-07,123.0,True
2012-04-08,122.9,True
2012-04-09,122.7,False
2012-04-10,119.9,False
2012-04-11,120.2,False
2012-04-12,121.7,False
2012-04-13,121.8,False
2012-04-14,120.8,True
2012-04-15,119.7,True
2012-04-16,118.7,False
2012-04-17,118.8,False
2012-04-18,118.0,False
2012-04-19,118.0,False
2012-04-20,118.8,False
2012-04-21,118.7,True
2012-04-22,118.7,True
2012-04-23,118.7,False
2012-04-24,118.2,False
2012-04-25,119.1,False
2012-04-26,119.9,False
2012-04-27,119.8,False
2012-04-28,119.7,True
2012-04-29,119.6,True
2012-04-30,119.5,False
2012-05-01,119.7,False
2012-05-02,118.2,False
2012-05-03,116.1,False
2012-05-04,113.2,False
2012-05-05,113.2,True
2012-05-06,113.2,True
2012-05-07,113.2,False
2012-05-08,112.7,False
2012-05-09,113.2,False
2012-05-10,112.7,False
2012-05-11,112.3,False
2012-05-12,112.0,True
2012-05-13,111.8,True
2012-05-14,111.6,False
2012-05-15,112.2,False
2012-05-16,111.7,False
2012-05-17,107.5,False
2012-05-18,107.1,False
2012-05-19,107.7,True
2012-05-20,108.3,True
2012-05-21,108.8,False
2012-05-22,108.4,False
2012-05-23,105.6,False
2012-05-24,106.6,False
2012-05-25,106.8,False
2012-05-26,106.9,True
2012-05-27,107.0,True
2012-05-28,107.1,False
2012-05-29,106.7,False
2012-05-30,103.5,False
2012-05-31,101.9,False
2012-06-01,98.4,False
2012-06-02,98.6,True
2012-06-03,98.7,True
2012-06-04,98.8,False
2012-06-05,98.8,False
2012-06-06,100.6,False
2012-06-07,99.9,False
2012-06-08,99.5,False
2012-06-09,99.0,True
2012-06-10,98.5,True
2012-06-11,98.0,False
2012-06-12,97.1,False
2012-06-13,97.1,False
2012-06-14,97.0,False
2012-06-15,97.6,False
2012-06-16,97.1,True
2012-06-17,96.6,True
2012-06-18,96.0,False
2012-06-19,95.8,False
2012-06-20,92.7,False
2012-06-21,89.2,False
2012-06-22,91.0,False
2012-06-23,91.0,True
2012-06-24,91.0,True
2012-06-25,91.0,False
2012-06-26,93.0,False
2012-06-27,93.5,False
2012-06-28,91.4,False
2012-06-29,97.8,False
2012-06-30,97.6,True
2012-07-01,97.5,True
2012-07-02,97.3,False
2012-07-03,100.7,False
2012-07-04,99.8,False
2012-07-05,100.7,False
2012-07-06,98.2,False
2012-07-07,98.9,True
2012-07-08,99.6,True
2012-07-09,100.3,False
2012-07-10,98.0,False
2012-07-11,98.4,False
2012-07-12,101.1,False
2012-07-13,102.4,False
2012-07-14,102.8,True
2012-07-15,103.2,True
2012-07-16,103.6,False
2012-07-17,104.0,False
2012-07-18,105.2,False
2012-07-19,107.8,False
2012-07-20,106.8,False
2012-07-21,105.6,True
2012-07-22,104.4,True
2012-07-23,103.3,False
2012-07-24,103.4,False
2012-07-25,104.4,False
2012-07-26,105.3,False
2012-07-27,106.5,False
2012-07-28,106.4,True
2012-07-29,106.3,True
2012-07-30,106.2,False
2012-07-31,104.9,False
2012-08-01,106.0,False
2012-08-02,105.9,False
2012-08-03,108.9,False
2012-08-04,109.1,True
2012-08-05,109.3,True
2012-08-06,109.6,False
2012-08-07,112.0,False
2012-08-08,112.1,False
2012-08-09,113.2,False
2012-08-10,113.0,False
2012-08-11,113.2,True
2012-08-12,113.4,True
2012-08-13,113.6,False
2012-08-14,114.0,False
2012-08-15,116.2,False
2012-08-16,116.9,False
2012-08-17,113.7,False
2012-08-18,113.7,True
2012-08-19,113.7,True
2012-08-20,113.7,False
2012-08-21,114.6,False
2012-08-22,114.9,False
2012-08-23,115.0,False
2012-08-24,113.6,False
2012-08-25,113.1,True
2012-08-26,112.7,True
2012-08-27,112.3,False
2012-08-28,112.6,False
2012-08-29,112.5,False
2012-08-30,112.6,False
2012-08-31,114.6,False
2012-09-01,115.0,True
2012-09-02,115.4,True
2012-09-03,115.8,False
2012-09-04,114.2,False
2012-09-05,113.1,False
2012-09-06,113.5,False
2012-09-07,114.2,False
2012-09-08,114.4,True
2012-09-09,114.6,True
2012-09-10,114.8,False
2012-09-11,115.4,False
2012-09-12,116.0,False
2012-09-13,116.9,False
2012-09-14,116.7,False
2012-09-15,115.7,True
2012-09-16,114.7,True
2012-09-17,113.8,False
2012-09-18,112.0,False
2012-09-19,108.2,False
2012-09-20,110.0,False
2012-09-21,111.4,False
2012-09-22,110.9,True
2012-09-23,110.3,True
2012-09-24,109.8,False
2012-09-25,110.4,False
2012-09-26,110.0,False
2012-09-27,112.0,False
2012-09-28,112.4,False
2012-09-29,112.3,True
2012-09-30,112.3,True
2012-10-01,112.2,False
2012-10-02,111.6,False
2012-10-03,108.2,False
2012-10-04,112.6,False
2012-10-05,112.0,False
2012-10-06,112.0,True
2012-10-07,111.9,True
2012-10-08,111.8,False
2012-10-09,114.5,False
2012-10-10,114.3,False
2012-10-11,115.7,False
2012-10-12,114.6,False
2012-10-13,115.0,True
2012-10-14,115.4,True
2012-10-15,115.8,False
2012-10-16,115.1,False
2012-10-17,113.2,False
2012-10-18,112.4,False
2012-10-19,110.1,False
2012-10-20,109.9,True
2012-10-21,109.7,True
2012-10-22,109.4,False
2012-10-23,108.2,False
2012-10-24,107.8,False
2012-10-25,108.5,False
2012-10-26,109.6,False
2012-10-27,109.5,True
2012-10-28,109.5,True
2012-10-29,109.4,False
2012-10-30,109.1,False
2012-10-31,108.7,False
2012-11-01,108.2,False
2012-11-02,105.7,False
2012-11-03,106.4,True
2012-11-04,107.0,True
2012-11-05,107.7,False
2012-11-06,111.1,False
2012-11-07,106.8,False
2012-11-08,107.2,False
2012-11-09,109.4,False
2012-11-10,109.3,True
2012-11-11,109.2,True
2012-11-12,109.1,False
2012-11-13,108.3,False
2012-11-14,109.6,False
2012-11-15,111.0,False
2012-11-16,109.0,False
2012-11-17,109.9,True
2012-11-18,110.8,True
2012-11-19,111.7,False
2012-11-20,109.8,False
2012-11-21,110.9,False
2012-11-22,110.6,False
2012-11-23,111.4,False
2012-11-24,111.2,True
2012-11-25,111.1,True
2012-11-26,110.9,False
2012-11-27,109.9,False
2012-11-28,109.5,False
2012-11-29,110.8,False
2012-11-30,111.2,False
2012-12-01,111.1,True
2012-12-02,111.0,True
2012-12-03,110.9,False
2012-12-04,109.8,False
2012-12-05,108.8,False
2012-12-06,107.0,False
2012-12-07,107.0,False
2012-12-08,107.1,True
2012-12-09,107.2,True
2012-12-10,107.3,False
2012-12-11,108.0,False
2012-12-12,109.5,False
2012-12-13,107.9,False
2012-12-14,109.2,False
2012-12-15,108.6,True
2012-12-16,108.1,True
2012-12-17,107.6,False
2012-12-18,108.8,False
2012-12-19,110.4,False
2012-12-20,110.2,False
2012-12-21,109.0,False
2012-12-22,108.9,True
2012-12-23,108.9,True
2012-12-24,108.8,False
2012-12-25,109.9,True
2012-12-26,111.1,False
2012-12-27,110.8,False
2012-12-28,110.6,False
2012-12-29,110.8,True
2012-12-30,110.9,True
2012-12-31,111.1,False
2013-01-01,111.8,True
2013-01-02,112.5,False
2013-01-03,112.1,False
2013-01-04,111.3,False
2013-01-05,111.3,True
2013-01-06,111.4,True
2013-01-07,111.4,False
2013-01-08,111.9,False
2013-01-09,111.8,False
2013-01-10,111.9,False
2013-01-11,110.6,False
2013-01-12,111.1,True
2013-01-13,111.5,True
2013-01-14,111.9,False
2013-01-15,110.3,False
2013-01-16,110.6,False
2013-01-17,111.1,False
2013-01-18,111.9,False
2013-01-19,111.8,True
2013-01-20,111.8,True
2013-01-21,111.7,False
2013-01-22,112.4,False
2013-01-23,112.8,False
2013-01-24,113.3,False
2013-01-25,113.3,False
2013-01-26,113.3,True
2013-01-27,113.4,True
2013-01-28,113.5,False
2013-01-29,114.4,False
2013-01-30,114.9,False
2013-01-31,115.6,False
2013-02-01,116.8,False
2013-02-02,116.4,True
2013-02-03,116.0,True
2013-02-04,115.6,False
2013-02-05,116.5,False
2013-02-06,116.7,False
2013-02-07,117.2,False
2013-02-08,118.9,False
2013-02-09,118.6,True
2013-02-10,118.4,True
2013-02-11,118.1,False
2013-02-12,118.7,False
2013-02-13,118.7,False
2013-02-14,118.0,False
2013-02-15,117.7,False
2013-02-16,117.6,True
2013-02-17,117.5,True
2013-02-18,117.4,False
2013-02-19,117.5,False
2013-02-20,115.6,False
2013-02-21,113.5,False
2013-02-22,114.1,False
2013-02-23,114.2,True
2013-02-24,114.3,True
2013-02-25,114.4,False
2013-02-26,112.7,False
2013-02-27,111.9,False
2013-02-28,111.4,False
2013-03-01,110.4,False
2013-03-02,110.3,True
2013-03-03,110.2,True
2013-03-04,110.1,False
2013-03-05,111.6,False
2013-03-06,111.1,False
2013-03-07,111.2,False
2013-03-08,110.8,False
2013-03-09,110.6,True
2013-03-10,110.4,True
2013-03-11,110.2,False
2013-03-12,109.6,False
2013-03-13,108.5,False
2013-03-14,109.4,False
2013-03-15,109.8,False
2013-03-16,109.7,True
2013-03-17,109.6,True
2013-03-18,109.5,False
