date,value,value_filled
2012-01-01,,False
2012-01-02,,False
2012-01-03,,False
2012-01-04,,False
2012-01-05,,False
2012-01-06,110.2,False
2012-01-07,109.8,True
2012-01-08,109.4,True
2012-01-09,109.1,True
2012-01-10,108.7,True
2012-01-11,108.3,True
2012-01-12,107.9,True
2012-01-13,107.5,False
2012-01-14,107.2,True
2012-01-15,106.9,True
2012-01-16,106.6,True
2012-01-17,106.3,True
2012-01-18,106.0,False
2012-01-19,104.5,True
2012-01-20,103.1,False
2012-01-21,103.6,True
2012-01-22,104.1,True
2012-01-23,104.5,True
2012-01-24,105.0,True
2012-01-25,105.5,True
2012-01-26,106.0,False
2012-01-27,106.0,False
2012-01-28,106.0,True
2012-01-29,106.0,True
2012-01-30,106.0,False
2012-01-31,102.8,False
2012-02-01,101.0,False
2012-02-02,101.8,False
2012-02-03,101.2,False
2012-02-04,101.0,True
2012-02-05,100.9,True
2012-02-06,100.6,False
2012-02-07,99.8,False
2012-02-08,99.2,False
2012-02-09,99.4,False
2012-02-10,98.5,False
2012-02-11,98.6,True
2012-02-12,98.7,True
2012-02-13,98.8,False
2012-02-14,98.8,False
2012-02-15,98.6,False
2012-02-16,99.0,False
2012-02-17,97.6,False
2012-02-18,97.9,True
2012-02-19,98.2,True
2012-02-20,98.4,True
2012-02-21,98.7,True
2012-02-22,99.0,True
2012-02-23,99.3,True
2012-02-24,99.6,False
2012-02-25,99.3,True
2012-02-26,99.1,True
2012-02-27,98.8,True
2012-02-28,98.6,True
2012-02-29,98.3,True
2012-03-01,98.1,True
2012-03-02,97.8,False
2012-03-03,97.7,True
2012-03-04,97.5,True
2012-03-05,97.3,True
2012-03-06,97.2,True
2012-03-07,97.0,True
2012-03-08,96.8,True
2012-03-09,96.7,False
2012-03-10,96.7,True
2012-03-11,96.6,True
2012-03-12,96.6,True
2012-03-13,96.6,True
2012-03-14,96.6,True
2012-03-15,96.6,True
2012-03-16,96.5,False
2012-03-17,96.5,True
2012-03-18,96.5,True
2012-03-19,96.5,True
2012-03-20,96.5,True
2012-03-21,96.5,True
2012-03-22,96.5,True
2012-03-23,96.4,False
2012-03-24,96.7,True
2012-03-25,96.9,True
2012-03-26,97.2,True
2012-03-27,97.4,True
2012-03-28,97.7,True
2012-03-29,97.9,True
2012-03-30,98.1,False
2012-03-31,98.2,True
2012-04-01,98.3,True
2012-04-02,98.4,True
2012-04-03,98.5,True
2012-04-04,98.6,True
2012-04-05,98.7,False
2012-04-06,98.4,True
2012-04-07,98.2,True
2012-04-08,97.9,True
2012-04-09,97.7,True
2012-04-10,97.4,True
2012-04-11,97.2,True
2012-04-12,96.9,True
2012-04-13,96.7,False
2012-04-14,96.6,True
2012-04-15,96.5,True
2012-04-16,96.5,True
2012-04-17,96.4,True
2012-04-18,96.4,True
2012-04-19,96.3,True
2012-04-20,96.2,False
2012-04-21,95.9,True
2012-04-22,95.6,True
2012-04-23,95.4,True
2012-04-24,95.1,True
2012-04-25,94.8,True
2012-04-26,94.5,True
2012-04-27,94.2,False
2012-04-28,93.4,True
2012-04-29,92.6,True
2012-04-30,91.8,True
2012-05-01,91.0,True
2012-05-02,90.2,True
2012-05-03,89.4,True
2012-05-04,88.6,False
2012-05-05,88.4,True
2012-05-06,88.1,True
2012-05-07,87.9,True
2012-05-08,87.6,True
2012-05-09,87.4,True
2012-05-10,87.1,True
2012-05-11,86.9,False
2012-05-12,86.9,True
2012-05-13,87.0,True
2012-05-14,87.0,True
2012-05-15,87.0,True
2012-05-16,87.1,True
2012-05-17,87.1,True
2012-05-18,87.1,False
2012-05-19,86.7,True
2012-05-20,86.3,True
2012-05-21,85.9,True
2012-05-22,85.5,True
2012-05-23,85.1,True
2012-05-24,84.7,True
2012-05-25,84.3,False
2012-05-26,84.9,True
2012-05-27,85.4,True
2012-05-28,85.9,True
2012-05-29,86.5,True
2012-05-30,87.0,True
2012-05-31,87.6,True
2012-06-01,88.1,False
2012-06-02,87.9,True
2012-06-03,87.8,True
2012-06-04,87.6,True
2012-06-05,87.5,True
2012-06-06,87.3,True
2012-06-07,87.1,True
2012-06-08,87.0,False
2012-06-09,86.6,True
2012-06-10,86.3,True
2012-06-11,85.9,True
2012-06-12,85.5,True
2012-06-13,85.2,True
2012-06-14,84.8,True
2012-06-15,84.5,False
2012-06-16,84.8,True
2012-06-17,85.1,True
2012-06-18,85.3,True
2012-06-19,85.6,True
2012-06-20,85.9,True
2012-06-21,86.2,True
2012-06-22,86.5,False
2012-06-23,87.0,True
2012-06-24,87.4,True
2012-06-25,87.9,True
2012-06-26,88.3,True
2012-06-27,88.8,True
2012-06-28,89.2,True
2012-06-29,89.7,False
2012-06-30,89.7,True
2012-07-01,89.8,True
2012-07-02,89.8,True
2012-07-03,89.8,True
2012-07-04,89.9,True
2012-07-05,89.9,True
2012-07-06,90.0,False
2012-07-07,89.6,True
2012-07-08,89.3,True
2012-07-09,89.0,True
2012-07-10,88.6,True
2012-07-11,88.3,True
2012-07-12,88.0,True
2012-07-13,87.6,False
2012-07-14,87.9,True
2012-07-15,88.1,True
2012-07-16,88.4,True
2012-07-17,88.7,True
2012-07-18,88.9,True
2012-07-19,89.2,True
2012-07-20,89.5,False
2012-07-21,89.5,True
2012-07-22,89.6,True
2012-07-23,89.6,True
2012-07-24,89.7,True
2012-07-25,89.7,True
2012-07-26,89.8,True
2012-07-27,89.9,False
2012-07-28,90.4,True
2012-07-29,90.9,True
2012-07-30,91.5,True
2012-07-31,92.0,True
2012-08-01,92.5,True
2012-08-02,93.1,True
2012-08-03,93.6,False
2012-08-04,94.0,True
2012-08-05,94.4,True
2012-08-06,94.8,True
2012-08-07,95.2,True
2012-08-08,95.6,True
2012-08-09,95.9,True
2012-08-10,96.3,False
2012-08-11,96.1,True
2012-08-12,95.8,True
2012-08-13,95.6,True
2012-08-14,95.3,True
2012-08-15,95.1,True
2012-08-16,94.8,True
2012-08-17,94.6,False
2012-08-18,94.4,True
2012-08-19,94.3,True
2012-08-20,94.2,True
2012-08-21,94.1,True
2012-08-22,93.9,True
2012-08-23,93.8,True
2012-08-24,93.7,False
2012-08-25,93.3,True
2012-08-26,93.0,True
2012-08-27,92.6,True
2012-08-28,92.2,True
2012-08-29,91.9,True
2012-08-30,91.5,True
2012-08-31,91.2,False
2012-09-01,91.4,True
2012-09-02,91.6,True
2012-09-03,91.8,True
2012-09-04,92.0,True
2012-09-05,92.1,True
2012-09-06,92.3,True
2012-09-07,92.5,False
2012-09-08,92.2,True
2012-09-09,91.9,True
2012-09-10,91.5,True
2012-09-11,91.2,True
2012-09-12,90.8,True
2012-09-13,90.5,True
2012-09-14,90.1,False
2012-09-15,89.8,True
2012-09-16,89.5,True
2012-09-17,89.2,True
2012-09-18,88.9,True
2012-09-19,88.6,True
2012-09-20,88.3,True
2012-09-21,88.0,False
2012-09-22,87.8,True
2012-09-23,87.5,True
2012-09-24,87.2,True
2012-09-25,86.9,True
2012-09-26,86.6,True
2012-09-27,86.4,True
2012-09-28,86.1,False
2012-09-29,86.2,True
2012-09-30,86.4,True
2012-10-01,86.6,True
2012-10-02,86.7,True
2012-10-03,86.9,True
2012-10-04,87.0,True
2012-10-05,87.2,False
2012-10-06,87.2,True
2012-10-07,87.1,True
2012-10-08,87.1,True
2012-10-09,87.1,True
2012-10-10,87.1,True
2012-10-11,87.0,True
2012-10-12,87.0,False
2012-10-13,86.9,True
2012-10-14,86.7,True
2012-10-15,86.6,True
2012-10-16,86.4,True
2012-10-17,86.3,True
2012-10-18,86.2,True
2012-10-19,86.0,False
2012-10-20,86.0,True
2012-10-21,86.1,True
2012-10-22,86.1,True
2012-10-23,86.1,True
2012-10-24,86.1,True
2012-10-25,86.1,True
2012-10-26,86.2,False
2012-10-27,86.0,True
2012-10-28,85.9,True
2012-10-29,85.8,True
2012-10-30,85.7,True
2012-10-31,85.6,True
2012-11-01,85.4,True
2012-11-02,85.3,False
2012-11-03,85.6,True
2012-11-04,86.0,True
2012-11-05,86.3,True
2012-11-06,86.6,True
2012-11-07,86.9,True
2012-11-08,87.2,True
2012-11-09,87.5,False
2012-11-10,88.0,True
2012-11-11,88.5,True
2012-11-12,89.0,True
2012-11-13,89.5,True
2012-11-14,90.0,True
2012-11-15,90.5,True
2012-11-16,91.0,False
2012-11-17,91.1,True
2012-11-18,91.2,True
2012-11-19,91.3,True
2012-11-20,91.4,True
2012-11-21,91.5,True
2012-11-22,91.7,True
2012-11-23,91.8,False
2012-11-24,92.0,True
2012-11-25,92.1,True
2012-11-26,92.3,True
2012-11-27,92.5,True
2012-11-28,92.6,True
2012-11-29,92.8,True
2012-11-30,93.0,False
2012-12-01,92.9,True
2012-12-02,92.8,True
2012-12-03,92.8,True
2012-12-04,92.7,True
2012-12-05,92.6,True
2012-12-06,92.6,True
2012-12-07,92.5,False
2012-12-08,91.9,True
2012-12-09,91.3,True
2012-12-10,90.8,True
2012-12-11,90.2,True
2012-12-12,89.7,True
2012-12-13,89.1,True
2012-12-14,88.5,False
2012-12-15,88.8,True
2012-12-16,89.1,True
2012-12-17,89.4,True
2012-12-18,89.7,True
2012-12-19,90.0,True
2012-12-20,90.3,True
2012-12-21,90.5,False
2012-12-22,90.4,True
2012-12-23,90.2,True
2012-12-24,90.1,True
2012-12-25,89.9,True
2012-12-26,89.8,True
2012-12-27,89.6,True
2012-12-28,89.5,False
2012-12-29,89.2,True
2012-12-30,88.8,True
2012-12-31,88.5,True
2013-01-01,88.1,True
2013-01-02,87.8,True
2013-01-03,87.4,True
2013-01-04,87.1,False
2013-01-05,87.0,True
2013-01-06,86.9,True
2013-01-07,86.7,True
2013-01-08,86.6,True
2013-01-09,86.5,True
2013-01-10,86.4,True
2013-01-11,86.3,False
2013-01-12,86.1,True
2013-01-13,85.8,True
2013-01-14,85.6,True
2013-01-15,85.4,True
2013-01-16,85.2,True
2013-01-17,85.0,True
2013-01-18,84.8,False
2013-01-19,84.9,True
2013-01-20,85.0,True
2013-01-21,85.1,True
2013-01-22,85.2,True
2013-01-23,85.3,True
2013-01-24,85.4,True
2013-01-25,85.5,False
2013-01-26,85.6,True
2013-01-27,85.8,True
2013-01-28,85.9,True
2013-01-29,86.0,True
2013-01-30,86.2,True
2013-01-31,86.3,True
2013-02-01,86.5,False
2013-02-02,86.6,True
2013-02-03,86.7,True
2013-02-04,86.8,True
2013-02-05,86.9,True
2013-02-06,87.0,True
2013-02-07,87.1,True
2013-02-08,87.2,False
2013-02-09,87.4,True
2013-02-10,87.7,True
2013-02-11,87.9,True
2013-02-12,88.2,True
2013-02-13,88.4,True
2013-02-14,88.7,True
2013-02-15,88.9,False
2013-02-16,89.0,True
2013-02-17,89.1,True
2013-02-18,89.2,True
2013-02-19,89.3,True
2013-02-20,89.4,True
2013-02-21,89.5,True
2013-02-22,89.5,False
2013-02-23,89.6,True
2013-02-24,89.7,True
2013-02-25,89.9,True
2013-02-26,90.0,True
2013-02-27,90.1,True
2013-02-28,90.2,True
2013-03-01,90.3,False
2013-03-02,89.7,True
2013-03-03,89.2,True
2013-03-04,88.7,True
2013-03-05,88.1,True
2013-03-06,87.6,True
2013-03-07,87.0,True
2013-03-08,86.5,False
2013-03-09,86.4,True
2013-03-10,86.4,True
2013-03-11,86.3,True
2013-03-12,86.3,True
2013-03-13,86.2,True
2013-03-14,86.2,True
2013-03-15,86.1,False
2013-03-16,85.5,True
2013-03-17,84.9,True
2013-03-18,84.3,True
