date,close,vwap,volume_tons,turnover_cny,cum_turnover_cny,is_open,is_quiet,has_trade,Guangdong_GDP_Cumulative_ffill_daily_15,Guangdong_ElectricityConsumption_Monthly_ffill_daily_15,Guangdong_IndustrialAddedValue_RealPrices_AboveScaleIndustry_YoY_ffill_daily_15,China_Output_CrudeOilProcessing_Monthly_ffill_daily_15,SpotPrice_ThermalCoal_ARA_Europe_ffill_daily_1,Hubei_ElectricityConsumption_Monthly_ffill_daily_15,FuturesSettle(Cont)_BrentCrude_ffill_daily_1,Hubei_IndustrialAddedValue_RealPrices_AboveScaleIndustry_YoY_ffill_daily_15,FuturesClose(Cont)_NYMEX_NatGas_ffill_daily_1,China_Output_CrudeSteel_Monthly_ffill_daily_15,SpotPrice_ThermalCoal_欧洲ARA港_ffill_daily_1,China_ElectricityGeneration_ThermalPower_Monthly_ffill_daily_15,China_TotalSocialFinancing_Monthly_ffill_daily_15,FuturesSettle(Cont)_EUA_Futures_ffill_daily_1,China_CPI_YoY_ffill_daily_15,China_TotalElectricityConsumption_Monthly_ffill_daily_15,China_Output_RawCoal_Monthly_ffill_daily_15,Hubei_GDP_Cumulative_ffill_daily_15,China_GDP_CurrentPrices_Cumulative_ffill_daily_15,China_ManufacturingPMI_ffill_daily_15,China_Output_水泥_Monthly_ffill_daily_15,CFETS_SpotFX_USD_CNY_ffill_daily_1
2014-06-27,68.0,68.0,6.0,408.0,34705338.01,True,False,True,13636.91,4550000.0,7.9,40300000.0,71.9,1320000.0,113.21,11.7,4.415,7043.2352,71.9,3402.7,14013.0,5.7,2.4773,44920395.0,30000.0,5137.26,143539.4,50.8,23426.992,6.2251
2014-06-28,68.0,68.0,0.0,0.0,34705338.01,False,False,False,13636.91,4550000.0,7.9,40300000.0,71.79,1320000.0,113.3,11.7,4.436,7043.2352,71.79,3402.7,14013.0,5.76,2.4773,44920395.0,30000.0,5137.26,143539.4,50.8,23426.992,6.2181
2014-06-29,68.0,68.0,0.0,0.0,34705338.01,False,False,False,13636.91,4550000.0,7.9,40300000.0,71.79,1320000.0,113.3,11.7,4.436,7043.2352,71.79,3402.7,14013.0,5.76,2.4773,44920395.0,30000.0,5137.26,143539.4,50.8,23426.992,6.2181
2014-06-30,62.41,62.41,8.0,499.29,34705837.3,True,False,True,13636.91,4550000.0,7.9,40300000.0,71.79,1320000.0,113.3,11.7,4.436,7043.2352,71.79,3402.7,14013.0,5.76,2.4773,44920395.0,30000.0,5137.26,143539.4,50.8,23426.992,6.2181
2014-07-01,58.0,58.0,2776.0,161018.65,34866855.95,True,False,True,13636.91,4550000.0,7.9,40300000.0,73.31,1320000.0,112.36,11.7,4.443,7043.2352,73.31,3402.7,14013.0,5.81,2.4773,44920395.0,30000.0,5137.26,143539.4,50.8,23426.992,6.205
2014-07-02,59.54,59.54,4077.0,242726.0,35109581.95,True,False,True,13636.91,4550000.0,7.9,40300000.0,73.15,1320000.0,112.29,11.7,4.445,7043.2352,73.15,3402.7,14013.0,6.01,2.4773,44920395.0,30000.0,5137.26,143539.4,50.8,23426.992,6.2016
2014-07-03,61.58,61.575,4.0,246.3,35109828.25,True,False,True,13636.91,4550000.0,7.9,40300000.0,73.15,1320000.0,111.24,11.7,4.415,7043.2352,73.15,3402.7,14013.0,6.07,2.4773,44920395.0,30000.0,5137.26,143539.4,50.8,23426.992,6.2106
2014-07-04,67.68,59.13,94.0,5558.47,35115386.72,True,False,True,13636.91,4550000.0,7.9,40300000.0,73.06,1320000.0,111.0,11.7,4.34,7043.2352,73.06,3402.7,14013.0,5.99,2.4773,44920395.0,30000.0,5137.26,143539.4,50.8,23426.992,6.2129
2014-07-05,67.68,59.13,0.0,0.0,35115386.72,False,False,False,13636.91,4550000.0,7.9,40300000.0,72.95,1320000.0,110.64,11.7,4.34,7043.2352,72.95,3402.7,14013.0,5.65,2.4773,44920395.0,30000.0,5137.26,143539.4,50.8,23426.992,6.2043
2014-07-06,67.68,59.13,0.0,0.0,35115386.72,False,False,False,13636.91,4550000.0,7.9,40300000.0,72.95,1320000.0,110.64,11.7,4.34,7043.2352,72.95,3402.7,14013.0,5.65,2.4773,44920395.0,30000.0,5137.26,143539.4,50.8,23426.992,6.2043
2014-07-07,60.91,60.91,2.0,121.82,35115508.54,True,False,True,13636.91,4550000.0,7.9,40300000.0,72.95,1320000.0,110.64,11.7,4.34,7043.2352,72.95,3402.7,14013.0,5.65,2.4773,44920395.0,30000.0,5137.26,143539.4,50.8,23426.992,6.2043
