date,value,value_filled
2012-01-01,,False
2012-01-02,,False
2012-01-03,,False
2012-01-04,6.2946,False
2012-01-05,6.3017,False
2012-01-06,6.3095,False
2012-01-07,6.3095,True
2012-01-08,6.3095,True
2012-01-09,6.3146,False
2012-01-10,6.315,False
2012-01-11,6.3155,False
2012-01-12,6.3178,False
2012-01-13,6.3066,False
2012-01-14,6.3066,True
2012-01-15,6.3066,True
2012-01-16,6.3165,False
2012-01-17,6.315,False
2012-01-18,6.312,False
2012-01-19,6.3167,False
2012-01-20,6.339,False
2012-01-21,6.339,True
2012-01-22,6.339,True
2012-01-23,6.339,True
2012-01-24,6.339,True
2012-01-25,6.339,True
2012-01-26,6.339,True
2012-01-27,6.339,True
2012-01-28,6.339,True
2012-01-29,6.339,True
2012-01-30,6.331,False
2012-01-31,6.3085,False
2012-02-01,6.3067,False
2012-02-02,6.3018,False
2012-02-03,6.3028,False
2012-02-04,6.3028,True
2012-02-05,6.3028,True
2012-02-06,6.3121,False
2012-02-07,6.3049,False
2012-02-08,6.2945,False
2012-02-09,6.2952,False
2012-02-10,6.2986,False
2012-02-11,6.2986,True
2012-02-12,6.2986,True
2012-02-13,6.2971,False
2012-02-14,6.2996,False
2012-02-15,6.3,False
2012-02-16,6.3016,False
2012-02-17,6.2991,False
2012-02-18,6.2991,True
2012-02-19,6.2991,True
2012-02-20,6.3017,False
2012-02-21,6.2964,False
2012-02-22,6.296,False
2012-02-23,6.2985,False
2012-02-24,6.2978,False
2012-02-25,6.2978,True
2012-02-26,6.2978,True
2012-02-27,6.3019,False
2012-02-28,6.299,False
2012-02-29,6.2936,False
2012-03-01,6.3002,False
2012-03-02,6.2982,False
2012-03-03,6.2982,True
2012-03-04,6.2982,True
2012-03-05,6.3067,False
2012-03-06,6.308,False
2012-03-07,6.3099,False
2012-03-08,6.3165,False
2012-03-09,6.3107,False
2012-03-10,6.3107,True
2012-03-11,6.3107,True
2012-03-12,6.3265,False
2012-03-13,6.327,False
2012-03-14,6.3323,False
2012-03-15,6.33,False
2012-03-16,6.3227,False
2012-03-17,6.3227,True
2012-03-18,6.3227,True
2012-03-19,6.3233,False
2012-03-20,6.3241,False
2012-03-21,6.3229,False
2012-03-22,6.2997,False
2012-03-23,6.3078,False
2012-03-24,6.3078,True
2012-03-25,6.3078,True
2012-03-26,6.314,False
2012-03-27,6.3072,False
2012-03-28,6.3051,False
2012-03-29,6.306,False
2012-03-30,6.298,False
2012-03-31,6.298,True
2012-04-01,6.298,True
2012-04-02,6.298,True
2012-04-03,6.298,True
2012-04-04,6.298,True
2012-04-05,6.3153,False
2012-04-06,6.3063,False
2012-04-07,6.3063,True
2012-04-08,6.3063,True
2012-04-09,6.3085,False
2012-04-10,6.3085,True
2012-04-11,6.3081,False
2012-04-12,6.3073,False
2012-04-13,6.303,False
2012-04-14,6.303,True
2012-04-15,6.303,True
2012-04-16,6.315,False
2012-04-17,6.3015,False
2012-04-18,6.3028,False
2012-04-19,6.3039,False
2012-04-20,6.3085,False
2012-04-21,6.3085,True
2012-04-22,6.3085,True
2012-04-23,6.3088,False
2012-04-24,6.3073,False
2012-04-25,6.3041,False
2012-04-26,6.306,False
2012-04-27,6.3102,False
2012-04-28,6.3102,True
2012-04-29,6.3102,True
2012-04-30,6.3102,True
2012-05-01,6.3102,True
2012-05-02,6.307,False
2012-05-03,6.305,False
2012-05-04,6.3062,False
2012-05-05,6.3062,True
2012-05-06,6.3062,True
2012-05-07,6.3079,False
2012-05-08,6.308,False
2012-05-09,6.3097,False
2012-05-10,6.314,False
2012-05-11,6.3106,False
2012-05-12,6.3106,True
2012-05-13,6.3106,True
2012-05-14,6.3215,False
2012-05-15,6.3182,False
2012-05-16,6.3271,False
2012-05-17,6.3252,False
2012-05-18,6.3284,False
2012-05-19,6.3284,True
2012-05-20,6.3284,True
2012-05-21,6.3279,False
2012-05-22,6.3231,False
2012-05-23,6.3345,False
2012-05-24,6.3447,False
2012-05-25,6.3439,False
2012-05-26,6.3439,True
2012-05-27,6.3439,True
2012-05-28,6.3453,False
2012-05-29,6.348,False
2012-05-30,6.3577,False
2012-05-31,6.369,False
2012-06-01,6.3709,False
2012-06-02,6.3709,True
2012-06-03,6.3709,True
2012-06-04,6.3645,False
2012-06-05,6.3675,False
2012-06-06,6.3635,False
2012-06-07,6.3635,False
2012-06-08,6.3705,False
2012-06-09,6.3705,True
2012-06-10,6.3705,True
2012-06-11,6.3694,False
2012-06-12,6.3699,False
2012-06-13,6.3691,False
2012-06-14,6.3703,False
2012-06-15,6.3651,False
2012-06-16,6.3651,True
2012-06-17,6.3651,True
2012-06-18,6.357,False
2012-06-19,6.3545,False
2012-06-20,6.3599,False
2012-06-21,6.3642,False
2012-06-22,6.3642,True
2012-06-23,6.3642,True
2012-06-24,6.3642,True
2012-06-25,6.3633,False
2012-06-26,6.3629,False
2012-06-27,6.3554,False
2012-06-28,6.3575,False
2012-06-29,6.3541,False
2012-06-30,6.3541,True
2012-07-01,6.3541,True
2012-07-02,6.3488,False
2012-07-03,6.3523,False
2012-07-04,6.3477,False
2012-07-05,6.3559,False
2012-07-06,6.3649,False
2012-07-07,6.3649,True
2012-07-08,6.3649,True
2012-07-09,6.3714,False
2012-07-10,6.3659,False
2012-07-11,6.3686,False
2012-07-12,6.3733,False
2012-07-13,6.3789,False
2012-07-14,6.3789,True
2012-07-15,6.3789,True
2012-07-16,6.3787,False
2012-07-17,6.3729,False
2012-07-18,6.3702,False
2012-07-19,6.3734,False
2012-07-20,6.3735,False
2012-07-21,6.3735,True
2012-07-22,6.3735,True
2012-07-23,6.3864,False
2012-07-24,6.3858,False
2012-07-25,6.3885,False
2012-07-26,6.3841,False
2012-07-27,6.3807,False
2012-07-28,6.3807,True
2012-07-29,6.3807,True
2012-07-30,6.3794,False
2012-07-31,6.3627,False
2012-08-01,6.3685,False
2012-08-02,6.3674,False
2012-08-03,6.3727,False
2012-08-04,6.3727,True
2012-08-05,6.3727,True
2012-08-06,6.3742,False
2012-08-07,6.3664,False
2012-08-08,6.3615,False
2012-08-09,6.359,False
2012-08-10,6.36,False
2012-08-11,6.36,True
2012-08-12,6.36,True
2012-08-13,6.3598,False
2012-08-14,6.3586,False
2012-08-15,6.3625,False
2012-08-16,6.3658,False
2012-08-17,6.3585,False
2012-08-18,6.3585,True
2012-08-19,6.3585,True
2012-08-20,6.3594,False
2012-08-21,6.3562,False
2012-08-22,6.3518,False
2012-08-23,6.3535,False
2012-08-24,6.3545,False
2012-08-25,6.3545,True
2012-08-26,6.3545,True
2012-08-27,6.3568,False
2012-08-28,6.353,False
2012-08-29,6.3517,False
2012-08-30,6.3496,False
2012-08-31,6.3484,False
2012-09-01,6.3484,True
2012-09-02,6.3484,True
2012-09-03,6.3407,False
2012-09-04,6.3473,False
2012-09-05,6.3492,False
2012-09-06,6.3428,False
2012-09-07,6.343,False
2012-09-08,6.343,True
2012-09-09,6.343,True
2012-09-10,6.3376,False
2012-09-11,6.3351,False
2012-09-12,6.3264,False
2012-09-13,6.3296,False
2012-09-14,6.3145,False
2012-09-15,6.3145,True
2012-09-16,6.3145,True
2012-09-17,6.3173,False
2012-09-18,6.3189,False
2012-09-19,6.3093,False
2012-09-20,6.3038,False
2012-09-21,6.3053,False
2012-09-22,6.3053,True
2012-09-23,6.3053,True
2012-09-24,6.3093,False
2012-09-25,6.3066,False
2012-09-26,6.302,False
2012-09-27,6.3025,False
2012-09-28,6.2849,False
2012-09-29,6.2849,True
2012-09-30,6.2849,True
2012-10-01,6.2849,True
2012-10-02,6.2849,True
2012-10-03,6.2849,True
2012-10-04,6.2849,True
2012-10-05,6.2849,True
2012-10-06,6.2849,True
2012-10-07,6.2849,True
2012-10-08,6.2872,False
2012-10-09,6.2878,False
2012-10-10,6.2833,False
2012-10-11,6.277,False
2012-10-12,6.2672,False
2012-10-13,6.2672,True
2012-10-14,6.2672,True
2012-10-15,6.2707,False
2012-10-16,6.2707,False
2012-10-17,6.2545,False
2012-10-18,6.2503,False
2012-10-19,6.2538,False
2012-10-20,6.2538,True
2012-10-21,6.2538,True
2012-10-22,6.2547,False
2012-10-23,6.248,False
2012-10-24,6.248,False
2012-10-25,6.2417,False
2012-10-26,6.2489,False
2012-10-27,6.2489,True
2012-10-28,6.2489,True
2012-10-29,6.2436,False
2012-10-30,6.2405,False
2012-10-31,6.2372,False
2012-11-01,6.2405,False
2012-11-02,6.2415,False
2012-11-03,6.2415,True
2012-11-04,6.2415,True
2012-11-05,6.2454,False
2012-11-06,6.2456,False
2012-11-07,6.2437,False
2012-11-08,6.2429,False
2012-11-09,6.245,False
2012-11-10,6.245,True
2012-11-11,6.245,True
2012-11-12,6.2291,False
2012-11-13,6.2265,False
2012-11-14,6.2252,False
2012-11-15,6.2334,False
2012-11-16,6.2356,False
2012-11-17,6.2356,True
2012-11-18,6.2356,True
2012-11-19,6.2345,False
2012-11-20,6.2326,False
2012-11-21,6.2302,False
2012-11-22,6.2289,False
2012-11-23,6.2285,False
2012-11-24,6.2285,True
2012-11-25,6.2285,True
2012-11-26,6.2255,False
2012-11-27,6.2223,False
2012-11-28,6.2273,False
2012-11-29,6.2281,False
2012-11-30,6.2267,False
2012-12-01,6.2267,True
2012-12-02,6.2267,True
2012-12-03,6.2279,False
2012-12-04,6.2256,False
2012-12-05,6.2253,False
2012-12-06,6.2282,False
2012-12-07,6.2301,False
2012-12-08,6.2301,True
2012-12-09,6.2301,True
2012-12-10,6.2451,False
2012-12-11,6.246,False
2012-12-12,6.2518,False
2012-12-13,6.2329,False
2012-12-14,6.2415,False
2012-12-15,6.2415,True
2012-12-16,6.2415,True
2012-12-17,6.235,False
2012-12-18,6.2324,False
2012-12-19,6.2303,False
2012-12-20,6.2302,False
2012-12-21,6.2286,False
2012-12-22,6.2286,True
2012-12-23,6.2286,True
2012-12-24,6.2335,False
2012-12-25,6.2339,False
2012-12-26,6.2353,False
2012-12-27,6.236,False
2012-12-28,6.2335,False
2012-12-29,6.2335,True
2012-12-30,6.2335,True
2012-12-31,6.2303,False
2013-01-01,6.2303,True
2013-01-02,6.2303,True
2013-01-03,6.2303,True
2013-01-04,6.2303,False
2013-01-05,6.2303,True
2013-01-06,6.2303,True
2013-01-07,6.2296,False
2013-01-08,6.2241,False
2013-01-09,6.2262,False
2013-01-10,6.2244,False
2013-01-11,6.2161,False
2013-01-12,6.2161,True
2013-01-13,6.2161,True
2013-01-14,6.2192,False
2013-01-15,6.2136,False
2013-01-16,6.2165,False
2013-01-17,6.216,False
2013-01-18,6.2154,False
2013-01-19,6.2154,True
2013-01-20,6.2154,True
2013-01-21,6.2213,False
2013-01-22,6.2198,False
2013-01-23,6.218,False
2013-01-24,6.2181,False
2013-01-25,6.2205,False
2013-01-26,6.2205,True
2013-01-27,6.2205,True
2013-01-28,6.2226,False
2013-01-29,6.2243,False
2013-01-30,6.2204,False
2013-01-31,6.2188,False
2013-02-01,6.227,False
2013-02-02,6.227,True
2013-02-03,6.227,True
2013-02-04,6.2328,False
2013-02-05,6.2294,False
2013-02-06,6.2317,False
2013-02-07,6.2322,False
2013-02-08,6.2325,False
2013-02-09,6.2325,True
2013-02-10,6.2325,True
2013-02-11,6.2325,True
2013-02-12,6.2325,True
2013-02-13,6.2325,True
2013-02-14,6.2325,True
2013-02-15,6.2325,True
2013-02-16,6.2325,True
2013-02-17,6.2325,True
2013-02-18,6.2427,False
2013-02-19,6.2443,False
