date,value,value_filled
2012-01-01,,False
2012-01-02,,False
2012-01-03,,False
2012-01-04,3.112,False
2012-01-05,2.975,False
2012-01-06,3.07,False
2012-01-07,3.07,True
2012-01-08,3.07,True
2012-01-09,3.017,False
2012-01-10,2.934,False
2012-01-11,2.78,False
2012-01-12,2.718,False
2012-01-13,2.654,False
2012-01-14,2.654,True
2012-01-15,2.654,True
2012-01-16,2.654,True
2012-01-17,2.5,False
2012-01-18,2.482,False
2012-01-19,2.32,False
2012-01-20,2.33,False
2012-01-21,2.33,True
2012-01-22,2.33,True
2012-01-23,2.57,False
2012-01-24,2.552,False
2012-01-25,2.745,False
2012-01-26,2.605,False
2012-01-27,2.692,False
2012-01-28,2.692,True
2012-01-29,2.692,True
2012-01-30,2.661,False
2012-01-31,2.47,False
2012-02-01,2.383,False
2012-02-02,2.544,False
2012-02-03,2.52,False
2012-02-04,2.52,True
2012-02-05,2.52,True
2012-02-06,2.571,False
2012-02-07,2.496,False
2012-02-08,2.455,False
2012-02-09,2.469,False
2012-02-10,2.477,False
2012-02-11,2.477,True
2012-02-12,2.477,True
2012-02-13,2.443,False
2012-02-14,2.533,False
2012-02-15,2.437,False
2012-02-16,2.552,False
2012-02-17,2.672,False
2012-02-18,2.672,True
2012-02-19,2.672,True
2012-02-20,2.672,True
2012-02-21,2.65,False
2012-02-22,2.652,False
2012-02-23,2.619,False
2012-02-24,2.555,False
2012-02-25,2.555,True
2012-02-26,2.555,True
2012-02-27,2.46,False
2012-02-28,2.519,False
2012-02-29,2.616,False
2012-03-01,2.463,False
2012-03-02,2.484,False
2012-03-03,2.484,True
2012-03-04,2.484,True
2012-03-05,2.355,False
2012-03-06,2.356,False
2012-03-07,2.302,False
2012-03-08,2.272,False
2012-03-09,2.324,False
2012-03-10,2.324,True
2012-03-11,2.324,True
2012-03-12,2.269,False
2012-03-13,2.299,False
2012-03-14,2.284,False
2012-03-15,2.279,False
2012-03-16,2.326,False
2012-03-17,2.326,True
2012-03-18,2.326,True
2012-03-19,2.351,False
2012-03-20,2.334,False
2012-03-21,2.337,False
2012-03-22,2.274,False
2012-03-23,2.275,False
2012-03-24,2.275,True
2012-03-25,2.275,True
2012-03-26,2.226,False
2012-03-27,2.213,False
2012-03-28,2.175,False
2012-03-29,2.172,False
2012-03-30,2.123,False
2012-03-31,2.123,True
2012-04-01,2.123,True
2012-04-02,2.14,False
2012-04-03,2.167,False
2012-04-04,2.139,False
2012-04-05,2.105,False
2012-04-06,2.105,True
2012-04-07,2.105,True
2012-04-08,2.105,True
2012-04-09,2.105,False
2012-04-10,2.033,False
2012-04-11,1.978,False
2012-04-12,1.983,False
2012-04-13,1.985,False
2012-04-14,1.985,True
2012-04-15,1.985,True
2012-04-16,2.0,False
2012-04-17,1.957,False
2012-04-18,1.948,False
2012-04-19,1.908,False
2012-04-20,1.93,False
2012-04-21,1.93,True
2012-04-22,1.93,True
2012-04-23,2.001,False
2012-04-24,1.985,False
2012-04-25,2.072,False
2012-04-26,2.007,False
2012-04-27,2.188,False
2012-04-28,2.188,True
2012-04-29,2.188,True
2012-04-30,2.305,False
2012-05-01,2.348,False
2012-05-02,2.271,False
2012-05-03,2.338,False
2012-05-04,2.289,False
2012-05-05,2.289,True
2012-05-06,2.289,True
2012-05-07,2.309,False
2012-05-08,2.428,False
2012-05-09,2.452,False
2012-05-10,2.452,True
2012-05-11,2.494,False
2012-05-12,2.494,True
2012-05-13,2.494,True
2012-05-14,2.418,False
2012-05-15,2.512,False
2012-05-16,2.608,False
2012-05-17,2.63,False
2012-05-18,2.719,False
2012-05-19,2.719,True
2012-05-20,2.719,True
2012-05-21,2.649,False
2012-05-22,2.68,False
2012-05-23,2.721,False
2012-05-24,2.651,False
2012-05-25,2.557,False
2012-05-26,2.557,True
2012-05-27,2.557,True
2012-05-28,2.557,True
2012-05-29,2.418,False
2012-05-30,2.455,False
2012-05-31,2.416,False
2012-06-01,2.334,False
2012-06-02,2.334,True
2012-06-03,2.334,True
2012-06-04,2.434,False
2012-06-05,2.435,False
2012-06-06,2.43,False
2012-06-07,2.282,False
2012-06-08,2.283,False
2012-06-09,2.283,True
2012-06-10,2.283,True
2012-06-11,2.215,False
2012-06-12,2.217,False
2012-06-13,2.185,False
2012-06-14,2.512,False
2012-06-15,2.467,False
2012-06-16,2.467,True
2012-06-17,2.467,True
2012-06-18,2.635,False
2012-06-19,2.567,False
2012-06-20,2.53,False
2012-06-21,2.575,False
2012-06-22,2.625,False
2012-06-23,2.625,True
2012-06-24,2.625,True
2012-06-25,2.662,False
2012-06-26,2.78,False
2012-06-27,2.753,False
2012-06-28,2.774,False
2012-06-29,2.814,False
2012-06-30,2.814,True
2012-07-01,2.814,True
2012-07-02,2.843,False
2012-07-03,2.884,False
2012-07-04,2.884,True
2012-07-05,2.951,False
2012-07-06,2.792,False
2012-07-07,2.792,True
2012-07-08,2.792,True
2012-07-09,2.88,False
2012-07-10,2.754,False
2012-07-11,2.821,False
2012-07-12,2.878,False
2012-07-13,2.88,False
2012-07-14,2.88,True
2012-07-15,2.88,True
2012-07-16,2.819,False
2012-07-17,2.791,False
2012-07-18,2.973,False
2012-07-19,3.03,False
2012-07-20,3.083,False
2012-07-21,3.083,True
2012-07-22,3.083,True
2012-07-23,3.099,False
2012-07-24,3.161,False
2012-07-25,3.085,False
2012-07-26,3.095,False
2012-07-27,3.095,True
2012-07-28,3.095,True
2012-07-29,3.095,True
2012-07-30,3.214,False
2012-07-31,3.171,False
2012-08-01,3.171,False
2012-08-02,2.92,False
2012-08-03,2.877,False
2012-08-04,2.877,True
2012-08-05,2.877,True
2012-08-06,2.908,False
2012-08-07,2.964,False
2012-08-08,2.923,False
2012-08-09,2.945,False
2012-08-10,2.77,False
2012-08-11,2.77,True
2012-08-12,2.77,True
2012-08-13,2.729,False
2012-08-14,2.834,False
2012-08-15,2.748,False
2012-08-16,2.705,False
2012-08-17,2.719,False
2012-08-18,2.719,True
2012-08-19,2.719,True
2012-08-20,2.776,False
2012-08-21,2.775,False
2012-08-22,2.826,False
2012-08-23,2.802,False
2012-08-24,2.702,False
2012-08-25,2.702,True
2012-08-26,2.702,True
2012-08-27,2.653,False
2012-08-28,2.614,False
2012-08-29,2.634,False
2012-08-30,2.748,False
2012-08-31,2.799,False
2012-09-01,2.799,True
2012-09-02,2.799,True
2012-09-03,2.799,True
2012-09-04,2.854,False
2012-09-05,2.795,False
2012-09-06,2.758,False
2012-09-07,2.682,False
2012-09-08,2.682,True
2012-09-09,2.682,True
2012-09-10,2.812,False
2012-09-11,3.001,False
2012-09-12,3.058,False
2012-09-13,3.038,False
2012-09-14,2.943,False
2012-09-15,2.943,True
2012-09-16,2.943,True
2012-09-17,2.888,False
2012-09-18,2.782,False
2012-09-19,2.762,False
2012-09-20,2.801,False
2012-09-21,2.885,False
2012-09-22,2.885,True
2012-09-23,2.885,True
2012-09-24,2.837,False
2012-09-25,2.921,False
2012-09-26,3.046,False
2012-09-27,3.283,False
2012-09-28,3.32,False
2012-09-29,3.32,True
2012-09-30,3.32,True
2012-10-01,3.48,False
2012-10-02,3.507,False
2012-10-03,3.395,False
2012-10-04,3.406,False
2012-10-05,3.4,False
2012-10-06,3.4,True
2012-10-07,3.4,True
2012-10-08,3.403,False
2012-10-09,3.467,False
2012-10-10,3.474,False
2012-10-11,3.604,False
2012-10-12,3.6,False
2012-10-13,3.6,True
2012-10-14,3.6,True
2012-10-15,3.486,False
2012-10-16,3.437,False
2012-10-17,3.47,False
2012-10-18,3.578,False
2012-10-19,3.617,False
2012-10-20,3.617,True
2012-10-21,3.617,True
2012-10-22,3.452,False
2012-10-23,3.535,False
2012-10-24,3.45,False
2012-10-25,3.434,False
2012-10-26,3.4,False
2012-10-27,3.4,True
2012-10-28,3.4,True
2012-10-29,3.471,False
2012-10-30,3.691,False
2012-10-31,3.692,False
2012-11-01,3.699,False
2012-11-02,3.554,False
2012-11-03,3.554,True
2012-11-04,3.554,True
2012-11-05,3.554,False
2012-11-06,3.617,False
2012-11-07,3.578,False
2012-11-08,3.608,False
2012-11-09,3.503,False
2012-11-10,3.503,True
2012-11-11,3.503,True
2012-11-12,3.57,False
2012-11-13,3.739,False
2012-11-14,3.76,False
2012-11-15,3.703,False
2012-11-16,3.79,False
2012-11-17,3.79,True
2012-11-18,3.79,True
2012-11-19,3.719,False
2012-11-20,3.832,False
2012-11-21,3.903,False
2012-11-22,3.903,True
2012-11-23,3.901,False
2012-11-24,3.901,True
2012-11-25,3.901,True
2012-11-26,3.73,False
2012-11-27,3.769,False
2012-11-28,3.696,False
2012-11-29,3.648,False
2012-11-30,3.561,False
2012-12-01,3.561,True
2012-12-02,3.561,True
2012-12-03,3.591,False
2012-12-04,3.539,False
2012-12-05,3.7,False
2012-12-06,3.666,False
2012-12-07,3.551,False
2012-12-08,3.551,True
2012-12-09,3.551,True
2012-12-10,3.46,False
2012-12-11,3.412,False
2012-12-12,3.382,False
2012-12-13,3.347,False
2012-12-14,3.314,False
2012-12-15,3.314,True
2012-12-16,3.314,True
2012-12-17,3.358,False
2012-12-18,3.418,False
2012-12-19,3.32,False
2012-12-20,3.462,False
2012-12-21,3.449,False
2012-12-22,3.449,True
2012-12-23,3.449,True
2012-12-24,3.367,False
2012-12-25,3.367,True
2012-12-26,3.351,False
2012-12-27,3.366,False
2012-12-28,3.469,False
2012-12-29,3.469,True
2012-12-30,3.469,True
2012-12-31,3.354,False
2013-01-01,3.354,True
2013-01-02,3.233,False
2013-01-03,3.204,False
2013-01-04,3.282,False
2013-01-05,3.282,True
2013-01-06,3.282,True
2013-01-07,3.266,False
2013-01-08,3.228,False
2013-01-09,3.135,False
2013-01-10,3.183,False
2013-01-11,3.322,False
2013-01-12,3.322,True
2013-01-13,3.322,True
2013-01-14,3.383,False
2013-01-15,3.441,False
2013-01-16,3.44,False
2013-01-17,3.415,False
2013-01-18,3.566,False
2013-01-19,3.566,True
2013-01-20,3.566,True
2013-01-21,3.566,True
2013-01-22,3.595,False
2013-01-23,3.52,False
2013-01-24,3.469,False
2013-01-25,3.445,False
2013-01-26,3.445,True
2013-01-27,3.445,True
2013-01-28,3.283,False
2013-01-29,3.225,False
2013-01-30,3.34,False
2013-01-31,3.33,False
2013-02-01,3.305,False
2013-02-02,3.305,True
2013-02-03,3.305,True
2013-02-04,3.32,False
2013-02-05,3.405,False
2013-02-06,3.437,False
2013-02-07,3.295,False
2013-02-08,3.31,False
2013-02-09,3.31,True
2013-02-10,3.31,True
2013-02-11,3.21,False
2013-02-12,3.253,False
2013-02-13,3.299,False
2013-02-14,3.169,False
2013-02-15,3.18,False
2013-02-16,3.18,True
2013-02-17,3.18,True
2013-02-18,3.18,True
2013-02-19,3.271,False
2013-02-20,3.275,False
2013-02-21,3.24,False
2013-02-22,3.25,False
2013-02-23,3.25,True
2013-02-24,3.25,True
2013-02-25,3.4,False
2013-02-26,3.415,False
2013-02-27,3.415,True
2013-02-28,3.486,False
2013-03-01,3.456,False
2013-03-02,3.456,True
2013-03-03,3.456,True
2013-03-04,3.529,False
2013-03-05,3.523,False
2013-03-06,3.475,False
2013-03-07,3.5,False
2013-03-08,3.624,False
2013-03-09,3.624,True
2013-03-10,3.624,True
2013-03-11,3.638,False
2013-03-12,3.638,True
2013-03-13,3.683,False
2013-03-14,3.831,False
2013-03-15,3.841,False
2013-03-16,3.841,True
2013-03-17,3.841,True
2013-03-18,3.885,False
