date,value,value_filled
2012-01-01,,False
2012-01-02,,False
2012-01-03,6.28,False
2012-01-04,6.27,False
2012-01-05,6.43,False
2012-01-06,6.3,False
2012-01-07,6.3,True
2012-01-08,6.3,True
2012-01-09,6.51,False
2012-01-10,6.84,False
2012-01-11,6.75,False
2012-01-12,6.92,False
2012-01-13,6.73,False
2012-01-14,6.73,True
2012-01-15,6.73,True
2012-01-16,6.47,False
2012-01-17,6.48,False
2012-01-18,6.61,False
2012-01-19,7.07,False
2012-01-20,7.02,False
2012-01-21,7.02,True
2012-01-22,7.02,True
2012-01-23,6.86,False
2012-01-24,7.26,False
2012-01-25,7.33,False
2012-01-26,7.49,False
2012-01-27,7.97,False
2012-01-28,7.97,True
2012-01-29,7.97,True
2012-01-30,7.55,False
2012-01-31,7.84,False
2012-02-01,8.26,False
2012-02-02,8.53,False
2012-02-03,8.29,False
2012-02-04,8.29,True
2012-02-05,8.29,True
2012-02-06,8.49,False
2012-02-07,8.53,False
2012-02-08,8.12,False
2012-02-09,7.79,False
2012-02-10,7.71,False
2012-02-11,7.71,True
2012-02-12,7.71,True
2012-02-13,7.46,False
2012-02-14,7.89,False
2012-02-15,8.14,False
2012-02-16,8.77,False
2012-02-17,9.04,False
2012-02-18,9.04,True
2012-02-19,9.04,True
2012-02-20,8.54,False
2012-02-21,8.96,False
2012-02-22,8.93,False
2012-02-23,8.62,False
2012-02-24,9.19,False
2012-02-25,9.19,True
2012-02-26,9.19,True
2012-02-27,9.28,False
2012-02-28,8.8,False
2012-02-29,8.34,False
2012-03-01,8.65,False
2012-03-02,8.83,False
2012-03-03,8.83,True
2012-03-04,8.83,True
2012-03-05,8.62,False
2012-03-06,8.35,False
2012-03-07,8.4,False
2012-03-08,8.25,False
2012-03-09,7.9,False
2012-03-10,7.9,True
2012-03-11,7.9,True
2012-03-12,7.66,False
2012-03-13,7.62,False
2012-03-14,7.95,False
2012-03-15,7.83,False
2012-03-16,7.6,False
2012-03-17,7.6,True
2012-03-18,7.6,True
2012-03-19,7.62,False
2012-03-20,7.02,False
2012-03-21,7.26,False
2012-03-22,6.71,False
2012-03-23,6.87,False
2012-03-24,6.87,True
2012-03-25,6.87,True
2012-03-26,6.84,False
2012-03-27,7.12,False
2012-03-28,7.04,False
2012-03-29,6.71,False
2012-03-30,6.98,False
2012-03-31,6.98,True
2012-04-01,6.98,True
2012-04-02,6.21,False
2012-04-03,6.35,False
2012-04-04,6.08,False
2012-04-05,6.68,False
2012-04-06,6.68,True
2012-04-07,6.68,True
2012-04-08,6.68,True
2012-04-09,6.68,False
2012-04-10,6.78,False
2012-04-11,6.92,False
2012-04-12,7.06,False
2012-04-13,7.12,False
2012-04-14,7.12,True
2012-04-15,7.12,True
2012-04-16,6.79,False
2012-04-17,7.05,False
2012-04-18,7.2,False
2012-04-19,7.33,False
2012-04-20,7.32,False
2012-04-21,7.32,True
2012-04-22,7.32,True
2012-04-23,7.07,False
2012-04-24,7.07,False
2012-04-25,7.03,False
2012-04-26,7.22,False
2012-04-27,7.24,False
2012-04-28,7.24,True
2012-04-29,7.24,True
2012-04-30,7.48,False
2012-05-01,7.47,False
2012-05-02,7.12,False
2012-05-03,7.06,False
2012-05-04,6.6,False
2012-05-05,6.6,True
2012-05-06,6.6,True
2012-05-07,6.61,False
2012-05-08,6.74,False
2012-05-09,6.68,False
2012-05-10,6.65,False
2012-05-11,6.73,False
2012-05-12,6.73,True
2012-05-13,6.73,True
2012-05-14,6.56,False
2012-05-15,6.45,False
2012-05-16,6.5,False
2012-05-17,6.45,False
2012-05-18,6.33,False
2012-05-19,6.33,True
2012-05-20,6.33,True
2012-05-21,6.6,False
2012-05-22,6.88,False
2012-05-23,6.68,False
2012-05-24,6.78,False
2012-05-25,6.8,False
2012-05-26,6.8,True
2012-05-27,6.8,True
2012-05-28,6.68,False
2012-05-29,6.54,False
2012-05-30,6.4,False
2012-05-31,6.27,False
2012-06-01,6.38,False
2012-06-02,6.38,True
2012-06-03,6.38,True
2012-06-04,6.38,False
2012-06-05,6.38,False
2012-06-06,6.36,False
2012-06-07,6.45,False
2012-06-08,6.6,False
2012-06-09,6.6,True
2012-06-10,6.6,True
2012-06-11,6.62,False
2012-06-12,6.65,False
2012-06-13,6.71,False
2012-06-14,6.84,False
2012-06-15,7.23,False
2012-06-16,7.23,True
2012-06-17,7.23,True
2012-06-18,7.33,False
2012-06-19,7.5,False
2012-06-20,7.44,False
2012-06-21,7.5,False
2012-06-22,8.09,False
2012-06-23,8.09,True
2012-06-24,8.09,True
2012-06-25,7.98,False
2012-06-26,7.98,False
2012-06-27,7.89,False
2012-06-28,7.91,False
2012-06-29,8.2,False
2012-06-30,8.2,True
2012-07-01,8.2,True
2012-07-02,8.07,False
2012-07-03,8.25,False
2012-07-04,8.21,False
2012-07-05,8.27,False
2012-07-06,7.99,False
2012-07-07,7.99,True
2012-07-08,7.99,True
2012-07-09,7.93,False
2012-07-10,7.87,False
2012-07-11,7.82,False
2012-07-12,7.59,False
2012-07-13,7.59,False
2012-07-14,7.59,True
2012-07-15,7.59,True
2012-07-16,7.51,False
2012-07-17,7.62,False
2012-07-18,7.09,False
2012-07-19,6.82,False
2012-07-20,7.08,False
2012-07-21,7.08,True
2012-07-22,7.08,True
2012-07-23,7.07,False
2012-07-24,7.14,False
2012-07-25,6.8,False
2012-07-26,6.92,False
2012-07-27,6.86,False
2012-07-28,6.86,True
2012-07-29,6.86,True
2012-07-30,6.54,False
2012-07-31,6.88,False
2012-08-01,6.92,False
2012-08-02,7.03,False
2012-08-03,7.06,False
2012-08-04,7.06,True
2012-08-05,7.06,True
2012-08-06,7.16,False
2012-08-07,7.27,False
2012-08-08,7.19,False
2012-08-09,7.1,False
2012-08-10,7.16,False
2012-08-11,7.16,True
2012-08-12,7.16,True
2012-08-13,7.45,False
2012-08-14,7.61,False
2012-08-15,7.44,False
2012-08-16,7.66,False
2012-08-17,7.66,False
2012-08-18,7.66,True
2012-08-19,7.66,True
2012-08-20,7.6,False
2012-08-21,7.88,False
2012-08-22,7.99,False
2012-08-23,8.12,False
2012-08-24,8.13,False
2012-08-25,8.13,True
2012-08-26,8.13,True
2012-08-27,8.1,False
2012-08-28,7.93,False
2012-08-29,7.67,False
2012-08-30,7.64,False
2012-08-31,8.03,False
2012-09-01,8.03,True
2012-09-02,8.03,True
2012-09-03,8.22,False
2012-09-04,8.17,False
2012-09-05,8.2,False
2012-09-06,8.21,False
2012-09-07,8.33,False
2012-09-08,8.33,True
2012-09-09,8.33,True
2012-09-10,7.79,False
2012-09-11,7.7,False
2012-09-12,7.89,False
2012-09-13,7.75,False
2012-09-14,7.4,False
2012-09-15,7.4,True
2012-09-16,7.4,True
2012-09-17,7.35,False
2012-09-18,7.4,False
2012-09-19,7.52,False
2012-09-20,7.63,False
2012-09-21,7.41,False
2012-09-22,7.41,True
2012-09-23,7.41,True
2012-09-24,7.22,False
2012-09-25,7.45,False
2012-09-26,7.6,False
2012-09-27,7.81,False
2012-09-28,7.93,False
2012-09-29,7.93,True
2012-09-30,7.93,True
2012-10-01,7.92,False
2012-10-02,7.84,False
2012-10-03,7.56,False
2012-10-04,7.6,False
2012-10-05,7.77,False
2012-10-06,7.77,True
2012-10-07,7.77,True
2012-10-08,7.89,False
2012-10-09,7.86,False
2012-10-10,7.69,False
2012-10-11,7.77,False
2012-10-12,7.8,False
2012-10-13,7.8,True
2012-10-14,7.8,True
2012-10-15,7.66,False
2012-10-16,7.96,False
2012-10-17,8.24,False
2012-10-18,8.04,False
2012-10-19,7.94,False
2012-10-20,7.94,True
2012-10-21,7.94,True
2012-10-22,7.87,False
2012-10-23,7.86,False
2012-10-24,7.65,False
2012-10-25,7.66,False
2012-10-26,7.86,False
2012-10-27,7.86,True
2012-10-28,7.86,True
2012-10-29,8.05,False
2012-10-30,8.13,False
2012-10-31,8.23,False
2012-11-01,8.04,False
2012-11-02,8.1,False
2012-11-03,8.1,True
2012-11-04,8.1,True
2012-11-05,8.25,False
2012-11-06,8.34,False
2012-11-07,8.22,False
2012-11-08,8.27,False
2012-11-09,8.32,False
2012-11-10,8.32,True
2012-11-11,8.32,True
2012-11-12,9.07,False
2012-11-13,8.4,False
2012-11-14,7.91,False
2012-11-15,7.12,False
2012-11-16,6.89,False
2012-11-17,6.89,True
2012-11-18,6.89,True
2012-11-19,6.71,False
2012-11-20,6.74,False
2012-11-21,6.77,False
2012-11-22,6.78,False
2012-11-23,7.01,False
2012-11-24,7.01,True
2012-11-25,7.01,True
2012-11-26,6.84,False
2012-11-27,6.85,False
2012-11-28,6.83,False
2012-11-29,6.58,False
2012-11-30,6.2,False
2012-12-01,6.2,True
2012-12-02,6.2,True
2012-12-03,5.95,False
2012-12-04,5.72,False
2012-12-05,6.15,False
2012-12-06,6.39,False
2012-12-07,6.78,False
2012-12-08,6.78,True
2012-12-09,6.78,True
2012-12-10,7.07,False
2012-12-11,6.84,False
2012-12-12,6.75,False
2012-12-13,6.67,False
2012-12-14,6.57,False
2012-12-15,6.57,True
2012-12-16,6.57,True
2012-12-17,6.47,False
2012-12-18,6.7,False
2012-12-19,7.03,False
2012-12-20,7.17,False
2012-12-21,7.0,False
2012-12-22,7.0,True
2012-12-23,7.0,True
2012-12-24,6.92,False
2012-12-25,6.92,True
2012-12-26,6.92,False
2012-12-27,6.84,False
2012-12-28,6.5,False
2012-12-29,6.5,True
2012-12-30,6.5,True
2012-12-31,6.45,False
2013-01-01,6.45,True
2013-01-02,6.37,False
2013-01-03,6.2,False
2013-01-04,6.14,False
2013-01-05,6.14,True
2013-01-06,6.14,True
2013-01-07,6.46,False
2013-01-08,6.27,False
2013-01-09,6.02,False
2013-01-10,5.86,False
2013-01-11,5.72,False
2013-01-12,5.72,True
2013-01-13,5.72,True
2013-01-14,5.71,False
2013-01-15,5.88,False
2013-01-16,5.47,False
2013-01-17,5.44,False
2013-01-18,4.97,False
2013-01-19,4.97,True
2013-01-20,4.97,True
2013-01-21,4.81,False
2013-01-22,5.3,False
2013-01-23,4.52,False
2013-01-24,4.21,False
2013-01-25,4.0,False
2013-01-26,4.0,True
2013-01-27,4.0,True
2013-01-28,4.07,False
2013-01-29,3.88,False
2013-01-30,3.69,False
2013-01-31,3.31,False
2013-02-01,4.21,False
2013-02-02,4.21,True
2013-02-03,4.21,True
2013-02-04,4.19,False
2013-02-05,4.29,False
2013-02-06,4.06,False
2013-02-07,4.09,False
2013-02-08,4.43,False
2013-02-09,4.43,True
2013-02-10,4.43,True
2013-02-11,4.36,False
2013-02-12,4.46,False
2013-02-13,5.1,False
2013-02-14,5.12,False
2013-02-15,5.06,False
2013-02-16,5.06,True
2013-02-17,5.06,True
2013-02-18,4.99,False
2013-02-19,4.56,False
2013-02-20,4.86,False
2013-02-21,5.17,False
2013-02-22,5.07,False
2013-02-23,5.07,True
2013-02-24,5.07,True
2013-02-25,4.47,False
2013-02-26,4.2,False
2013-02-27,4.37,False
2013-02-28,4.8,False
2013-03-01,4.57,False
2013-03-02,4.57,True
2013-03-03,4.57,True
2013-03-04,4.53,False
2013-03-05,4.14,False
2013-03-06,4.19,False
2013-03-07,4.24,False
2013-03-08,4.18,False
2013-03-09,4.18,True
2013-03-10,4.18,True
2013-03-11,3.88,False
2013-03-12,3.66,False
2013-03-13,3.45,False
2013-03-14,3.63,False
2013-03-15,3.71,False
2013-03-16,3.71,True
2013-03-17,3.71,True
2013-03-18,3.48,False
